CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
234,extension,19106,BHUSAVAL- UDHNA MEMU,,BHUSAVAL,,15.09.2023
234,extension,09377,UDHNA- NANDURBAR MEMU,,NANDURBAR,,15.09.2023
234,extension,09378,NANDURBAR- UDHNA MEMU,,NANDURBAR,,15.09.2023
253,stoppage,12967/12968,Chennai - Jaipur Express,,,Chaumahla,30.09.2023
253,stoppage,12975/12976,Mysore - Jaipur Express,,,Chaumahla,30.09.2023
253,stoppage,19019/19020,Bandra (T) - Haridwar Express,,,Jhalawar Road,30.09.2023
253,stoppage,19037/19038,Bandra (T) - Barauni Express,,,Jhalawar Road,30.09.2023
253,stoppage,12181/12182,Jabalpur - Ajmer Express,,,Antah,30.09.2023
253,stoppage,22983/22984,Kota - Indore Express,,,Salpura,30.09.2023
149,stoppage,15073/74,Singrauli-Tanakpur Tribeni Express,,,Bilpur,31.07.2023
149,stoppage,13345/46,Varanasi-Singrauli Express,,,Narayanpur Bazar (NPBR) Old Name Ahraura Road (ARW),31.07.2023
299,stoppage,04571,Bhiwani-Dhuri Special,,,Gajuwala,28.10.2023
299,stoppage,04572,Dhusi-Sirsa Special,,,Gajuwala,28.10.2023
299,stoppage,04745,Churu-Ludhiana Special,,,Gajuwala,28.10.2023
299,stoppage,04744,Ludhiana-Churu Special,,,Gajuwala,28.10.2023
206,stoppage,12003/12004,Lucknow Jn. New Delhi Shatabdi Express,,,Phaphund,23.08.2023
298,stoppage,12945/46,Veraval-Banaras Express,,,Bavla,06.11.2023
156,stoppage,07381/07382,Hubballi-Karatagi Special Express,,,Halligudi Halt,01.08.2023
236,introduction,69233,VADODARA-DAHOD MEMU,VADODARA,DAHOD,,19.09.2023
236,introduction,69234,DAHOD-VADODARA MEMU,DAHOD,VADODARA,,19.09.2023
235,stoppage,13249/13250,Patna-Bhabua Road Express,,,Sadisopur,19.09.2023
329,introduction,None,CBE-POY UNRESERVED EXPRESS SPL,COIMBATORE,POLLACHI,,05.12.2023
208,extension,15612,SILCHAR- GUWAHATI- RANGIYA EXPRESS,,RANGIYA,,23.08.2023
208,extension,15611,GUWAHATI- SILCHAR EXPRESS,,RANGIYA,,23.08.2023
230,stoppage,22609/22610,Mangaluru Central-Coimbatore Express,,,Nileshwar,12.09.2023
148,stoppage,13413/14,Malda Town-Delhi Farakka Express,,,Bharthana,28.07.2023
148,stoppage,13483/84,Malda Town-Delhi Farakka Express,,,Bharthana,28.07.2023
148,stoppage,12419/20,New Delhi-Lucknow Gomti Express,,,Bharthana,28.07.2023
