CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
141,stoppage,22945/46,Mumbai-Okha Express,,,Aliyavada,28.07.2023
141,stoppage,22959/60,Vadodara-Jamnagar Express,,,Jamwanthali,28.07.2023
71,introduction,01891,GWALIOR-ETAWAH MEMU,GWALIOR,ETAWAH,,11.04.2023
71,introduction,01892,ETAWAH-GWALIOR MEMU,ETAWAH,GWALIOR,,11.04.2023
154,introduction,07687/88,AGARTALA-SABROOM DEMU SPECIAL,AGARTALA,SABROOM,,01.08.2023
77,introduction,01065/66,DHULE-DADAR EXPRESS,DHULE,DADAR,,20.04.2023
77,introduction,01065/66,DADAR-DHULE EXPRESS,DADAR,DHULE,,20.04.2023
346,stoppage,13403/13404,Ranchi-Bhagalpur Vananchal Express,,,Dubrajpur,19.12.2023
346,stoppage,11447,Jabalpur-Howrah Shaktipunj Express,,,Barakar,19.12.2023
346,stoppage,18619/18620,Ranchi-Godda Express,,,Barakar,19.12.2023
174,stoppage,11651/52,Jabalpur-Singrauli Express,,,"Jabalpur, Deori, Sihora Road, Katni South, New Katni, Khanna Banjari, Mahroi, Vijaysota, Beohari, Joba, Marwasgram, Niwas Road, Saraigram, Gajrabahara, Bargawan, Mahdeiya, Singrauli",11.08.2023
119,extension,04108,UTRATIA- SULTANPUR-SHIVPUR MEMU,,SHIVPUR,,02.06.2023
119,extension,04107,SHIVPUR- SULTANPUR- UTRATIA MEMU,,SHIVPUR,,02.06.2023
313,stoppage,14113/14,Subedarganj-Dehradun Express,,,Jhinjhak,15.11.2023
313,stoppage,19615/16,Udaipur-Kamakhya Express,,,Kannauj,15.11.2023
297,extension,40,PORT LINE EMU SERVICES,,URAN,,03.11.2023
233,stoppage,19165/19166,Ahmedabad-Darbhanga Express,,,Babina,13.09.2023
233,stoppage,19167/19168,Ahmedabad-Varanasi City Express,,,Chirgaon,13.09.2023
233,stoppage,12175/12176,Gwalior-Howrah Express,,,Barwa Sagar,13.09.2023
233,stoppage,20975/20976,Agra Cantt-Howrah Express,,,Barwa Sagar,13.09.2023
102,stoppage,15663/15664,Agartala-Silchar Express,,,Jogendra Nagar,17.05.2023
102,stoppage,15663/15664,Agartala-Silchar Express,,,Manu,17.05.2023
102,stoppage,15663/15664,Agartala-Silchar Express,,,Jirania,17.05.2023
176,stoppage,18463/18464,Bhubaneswar-KSR Bengaluru Prashanti Express,,,Kaluparaghat,11.08.2023
152,stoppage,20409/10,Delhi-Bhatinda Express,,,Mansa,31.07.2023
243,extension,12513,SC-GHY- SCL EXPRESS,,SILCHAR,,27.09.2023
243,extension,12514,GHY-SC EXPRESS,,SILCHAR,,27.09.2023
243,extension,12519,LTT- KYQ- AGTL EXP,,AGARTALA,,27.09.2023
243,extension,12520,AGTL -KYQ- LTT EXP,,AGARTALA,,27.09.2023
355,stoppage,03369/70,Koderma-Madhupur Passenger,,,Jharkhand Dham Halt,27.12.2023
355,stoppage,03605/06,Koderma-Maheshmunda Passenger,,,Jharkhand Dham Halt,27.12.2023
216,introduction,None,BIKANER-AMRITSAR EXPRESS,BIKANER,AMRITSAR,,28.08.2023
216,introduction,None,AMRITSAR-BIKANER EXPRESS,AMRITSAR,BIKANER,,28.08.2023
116,stoppage,18237/38,Korba/Bilaspur-Amritsar Chhattisgarh Express,,,Pandhurna,29.05.2023
116,stoppage,20843/44,Bilaspur-Bhagat Ki Kothi Express,,,Pandhurna,29.05.2023
116,stoppage,12511/12,Gorakhpur-Kochuveli Rapti Sagar Express,,,Pandhurna,29.05.2023
325,introduction,None,TATANAGAR-BADAMPAHAR MEMU,TATANAGAR,BADAMPAHAR,,05.12.2023
325,introduction,None,BADAMPAHAR-TATANAGAR MEMU,BADAMPAHAR,TATANAGAR,,05.12.2023
248,introduction,None,DELHI-JAISALMER RUNICHA EXPRESS,DELHI,JAISALMER,,29.09.2023
248,introduction,14661/62,SHALIMAR-MALANI EXPRESS,BARMER,JAMMU TAWI,,29.09.2023
248,introduction,14645/66,None,Jaisalmer,JAMMU TAWI,,29.09.2023
317,stoppage,15231/32,Gondia-Barauni Express,,,Salekasa,17.11.2023
314,stoppage,14259/60,Gaya-Lucknow Ekatmata Express,,,Rafiganj,15.11.2023
314,stoppage,13347/48,Barkakana-Patna Palamu Express,,,Jakhim,15.11.2023
314,stoppage,13009/10,Howrah-Yog Nagari Rishikesh Doon Express,,,Phesar,15.11.2023
356,extension,16845,ERODE- SENGOTTAI EXPRESS,,SENGOTTAI,,27.12.2023
356,extension,16846,SENGOTTAI- ERODE EXPRESS,,SENGOTTAI,,27.12.2023
143,stoppage,19015/16,Dadar-Porbandar Saurashtra Express,,,Lalpur Jam,28.07.2023
143,stoppage,12905/06,Porbandar-Shalimar Express,,,Lalpur Jam,28.07.2023
138,stoppage,12995/96,Ajmer-Bandra(T) Express,,,Dahod,21.07.2023
348,stoppage,11753/11754,Rewa-NSCB Itwari Express,,,Lamta,26.12.2023
348,stoppage,11755/11756,Rewa-NSCB Itwari Express,,,Ghansore,26.12.2023
348,stoppage,11201/11202,Nagpur-Shahdol Express,,,Keolari,26.12.2023
190,stoppage,12775/76,Kakinada Town-Lingampalli Cocanada Express,,,None,16.08.2023
89,extension,09603,JAIPUR- BHATINDA SPECIAL,,BHATINDA,,08.05.2023
89,extension,09604,BHATINDA- JAIPUR SPECIAL,,JAIPUR,,08.05.2023
89,extension,09705,JAIPUR- SRI GANGANAGAR SPECIAL,,SRI GANGANAGAR,,08.05.2023
89,extension,09706,SADULPUR-JAIPUR SPECIAL,,SRI GANGANAGAR,,08.05.2023
155,stoppage,16305/16306,Ernakulam-Kannur Express,,,Pattambi,01.08.2023
151,stoppage,22921/22,Gorakhpur-Bandra (T) Express,,,Tulsipur,31.07.2023
315,stoppage,11753/11754,Itwari-Rewa Express,,,Kamptee,15.11.2023
315,stoppage,20813/20814,Puri Express,,,Kamptee,15.11.2023
109,stoppage,16031/32,Chennai-SVD Katra Andaman Express,,,Hinganghat,24.05.2023
109,stoppage,12967/68,Chennai-Jaipur Express,,,Hinganghat,24.05.2023
109,stoppage,12511/12,Gorakhpur-Kochuveli Express,,,Hinganghat,24.05.2023
83,stoppage,18181/18182,Tatanagar-Chhapra Express,,,Chandil,25.04.2023
83,stoppage,18185/18186,Tatanagar-Godda Express,,,Chandil,25.04.2023
83,stoppage,12801/12802,Puri-New Delhi Purushottam Express,,,Chandil,25.04.2023
83,stoppage,18611/18612,Ranchi-Varanasi Express,,,Khalari,25.04.2023
164,stoppage,20977/78,Ajmer-Delhi Cantt. Vande Bharat Express,,,Rewari,03.08.2023
180,stoppage,18113/18114,Tatanagar-Bilaspur Express,,,Akaltara,11.08.2023
142,extension,12494,HAZRAT NIZAMUDDIN- MIRAJ DARSHAN EXPRESS,,MIRAJ,,28.07.2023
142,extension,12493,MIRAJ- HAZRAT NIZAMUDDIN- DARSHAN EXPRESS,,MIRAJ,,28.07.2023
115,stoppage,13205/06,Saharsa-Patliputra Janhit Express,,,Mehnar Road,29.05.2023
115,stoppage,15549/50,Jaynagar-Patna Express,,,Dholi,29.05.2023
157,extension,11305,SOLAPUR- HOSAPETE EXPRESS,,HOSAPETE,,01.08.2023
157,extension,11306,HOSAPETE- SOLAPUR EXPRESS,,HOSAPETE,,01.08.2023
157,extension,11139,CSMT- HOSAPETE EXPRESS,,HOSAPETE,,01.08.2023
157,extension,11140,HOSAPETE- GADAG EXPRESS,,HOSAPETE,,01.08.2023
188,stoppage,11045/46,Kolhapur-Dhanbad Express,,,Narkher,16.08.2023
188,stoppage,19713/14,Jaipur-Secunderabad Express,,,Narkher,16.08.2023
188,stoppage,19301/02,Dr. Ambedkar Nagar-Yesvantpur Express,,,Narkher,16.08.2023
262,stoppage,10107/08,Madgaon-Mangalore Central Express,,,"Madgaon, Thokur, Mangalore Central",06.10.2023
209,introduction,None,BUDGAM-BANIHAL DEMU,BUDGAM,BANIHAL,,23.08.2023
209,introduction,None,BANIHAL-BUDGAM DEMU,BANIHAL,BUDGAM,,23.08.2023
187,stoppage,12649/50,Karnataka Sampark Kranti Express,,,Mahbubnagar,16.08.2023
187,stoppage,17651/52,Chengalpattu-Kacheguda Express,,,Shadnagar,16.08.2023
162,stoppage,16604,Thiruvananthapuram-Mangaluru Express,,,Tirur,09.08.2023
256,stoppage,18573/18574,Visakhapatnam-Bhagat Ki Kothi Express,,,Bagbahra,05.10.2023
256,stoppage,22847/22848,Visakhapatnam-Lokmanya Tilak(T) Express,,,Bagbahra,05.10.2023
234,extension,19105,UDHNA- BHUSAVAL MEMU,,BHUSAVAL,,15.09.2023
