CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
93A/2020,Operation of 14803/04 Bhagat Ki Kothi-Ahmedabad Express (Daily) with revised timings and new train between Bhagat ki Koti and Sabarmati,11.02.2021,CC%2093A.pdf,OP
74/2021,Stoppage of 11109/10 Jhansi-Lucknow Express at Chirgaon,"31.12.2021",74.pdf,ST
73/2021,"Stoppage of  19327/28 Ratlam-Udaipur Express at Malhargarh, 09801/02 Nagda-Kota Express at Garot, 20941/42 Bandra (T)-Ghazipur Express at Shamgarh, 19037/38 Bandra (T)-Barauni Express at Shamgarh, 20845/46 Bilaspur-Bikaner SF Express at Suwasra, 14801/02 Jodhpur-Indore Express at Dalauda, 17019/20 Jaipur-Hyderabad Express at Jaora, 19329/30 Indore-Udaipur Express at Jawad Road, 19329/30 Indore-Udaipur Express at Pipli",29.12.2021,73.pdf,ST
72/2021,Change in terminal of 12729/30 Pune – Nanded Express to Hadapsar,27.12.2021,72.pdf,CH
71/2021,Extension of 12009/10 Mumbai Central – Ahmedabad Express upto GNC,21.12.2021,71.pdf,EX
70/2021,Stoppage of 12957/58 Ahmedabad-New Delhi Express at Sabarmati,21.12.2021,70.pdf,ST
69/2021,Stoppage of 22405/06 Bhagalpur-Anand Vihar (T) Garib Rath Express at Abhaipur,03.12.2021,69.pdf,ST
68/2021,Change in Nature of 16795/96 Chennai Egmore – Tiruchchirappalli Express to Superfast,30.11.2021,68.pdf,CH
67/2021,Stoppage of 12353/54 Howrah-Lalkuan Express at Sasaram,22.11.2021,67.pdf,ST
66/2021,Introduction of CNB – UTR MEMU, 18.11.2021,66.pdf,IN
65/2021,"Stoppage of 07319/20 Hubballi –Hyderabad Express, 06339/40 Mumbai-Nagercoil Express at Shahabad","17.11.2021",65.pdf,ST
64/2021,"Stoppage of 02951/52 Mumbai-New Delhi Rajdhani at Nagda, 09039/40Bandra (T)-Barauni Express at Vikramgarh Alot, 09019/20 Bandra (T)-Dehradun Express at Mahidpur Road & 02943/44 Indore-Daund Express at Khachrod",15.11.2021,64.pdf,ST
63/2021,"Stoppage of 02615/16MGR Chennai-New Delhi Special Express at Hinganghat, 01039/40 Kolhapur-Gondia Special Express at Chandur & 02169/70 CSMT-Nagpur Special Express at Pulgaon",15.11.2021,63.pdf,ST
62/2021,Introduction of 69211/12 Ujjain  - Indore (via Fatehabad) MEMU & 69213/14 Ujjain  - Indore (via Fatehabad),12.11.2021,62.pdf,IN
61/2021,Introduction of Ranchi – Chopan Special via Lohardaga-Tori, 08.11.2021,61.pdf,IN
60A/2021,Diversion of 12453/54 Ranchi-New Delhi Rajdhani Express via Chunar-Chopan,24.11.2021,60A.pdf,DI
60/2021,Diversion of 12453/54 Ranchi - New Delhi  Rajdhani  from Lohardaga-Tori,08.11.2021,60.pdf,DI
59/2021,Extension of 07337/38   (51412/11) Hubballi  - Bellari Express upto Guntakal and cancellation of 07668/69 Guntakal-Bellari DEMU,18.10.2021,59.pdf,EX
58/2021,Stoppage of 20955/56 (09049/50) Surat-Mahuva  Express at Liliya Mota,12.10.2021,58.pdf,ST
57/2021,"Stoppage of 05027/05028 Hatia-Gorakhpur Express at Jamtara ",10.10.2021,57_2021.pdf,ST
56/2021,Stoppage of 12283/12284 Ernakulam-Nizamuddin Duronto Express at Surat,27.09.2021,56.pdf,ST
