CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
55/2021,Stoppage of 13015/16 Howrah Jn.-Bhagalpur Jn.Express at Nonihat,25/09/2021,55.pdf,ST
54(B)/2020,Operation of 22659/60 Kochuveli-Yognagari Rishikesh Express and 12483/84 Kochuveli-Amritsar Express from Kochuveli instead of Ernakulam.,04.02.2021,CC%2054B.pdf,OP
54/2021,Extension of 09483/84 Express from  ADI to BJU upto Hardua, 22.09.2021,54.pdf,EX
53/2021,Change in Timing of 14011 Delhi – Hoshiyarpur Express from 17:25-2:10 to 18:30-5:30,23/09/2021,53.pdf,CH
52/2021,Speeding up of 02428 ANVT – Rewa Express by 35 min,28/09/2021,52.pdf,SP
51/2021,Extension of 05887/88 Vista Dome Special from Guwahati to New Haflong upto Badarpur,16.09.2021,51.pdf,EX
50/2021,"Stoppage & Change in Terminal of 02543/44 from Howrah Jn. to MGR Chennai Ctrl, of 08645/46 from Howrah Jn. to Hyderabad Deccan, 08047/48 from Howrah Jn. to Vasco-Da-Gamma, 02087/88 from Howrah Jn. to Puri, 09205/06 from Howrah Jn. to Porbandar, 02905/06 from Howrah Jn. to Okha & 02101/02 from Howrah Jn. to LTT at Santragachi",14.09.2021,50.pdf,ST
49/2021,Increase in Frequency of 14009/10 NVT – BMKI Express to 2 days in week, 09.09.2021,49.pdf,IN
48A/2021,"Stoppage of 09167/68 from ADI to BSB at Pipraigaon, 01125/26 from Ratlam to GWL at Badarwas, 02125/26 from Ratlam to Bhind at Miyana, 01125/26 from Ratlam to GWL at Miyana & 09307/08 Indore-Chandigarh Special  at Badarwas",23.09.2021,48A.pdf,ST
48/2021,Stoppage of 02781/82 Tirupati-H.Nizamuddin Special at Gwalior,23.09.2021,48.pdf,ST
47/2021,Change in Terminal of 12015/16 NDCL – Daurai Shatabdi to Ajmer, 31.08.2021,47.pdf,CH
46/2021,Stoppage of 08451/52 from Puri to Hatia at Bagdehi,01.09.2021,46.pdf,ST
45/2021,Merger of 12683/84 Ernakulam-Banaswadi express and 22607/08 Ernakulam-Banaswadi express as a single Tri-weekly service,24.08.2021,45.pdf,ME
44/2021, Introduction of 20955/56 Surat – Mahuva Superfast Express,18.08.2021,44.pdf,IN
43/2021,Stoppage of 12217/18 Kochuveli-Chandigarh Express at Surat,18.08.2021,43.pdf,ST
42/2021,Speeding Up of 19805/06 Kota – Udhampur Express,17.08.2021,42.pdf,SP
41/2021,Change in Nature of 54423/24 Hisar – Delhi Passenger to Express,06.08.2021,41.pdf,CH
40/2021,"Change in Nature of 51601/02 Bina – Katni Passenger, 51765/66 Satna – Manikpur Passenger, 51763/64 Satna – Manikpur Passenger & 51671/72 Itarsi – Satna Passenger to MEMU",03.08.2021,40.pdf,CH
39/2021,Operational  Stoppage of 11055/56 LTT-Gorakhpur Express & 11059/60 LTT-Chhapra Express at Khandwa,30.07.2021,39.pdf,OP
38/2021,"Change in Terminal of 12887/88 Howrah – Puri Express , 12895/96 Howrah – Puri Express, 12881/82 Howrah – Puri Express,22803/04 Howrah – Sambalpur Express & 12151/52 Howrah – LTT Express to Shalimar",27.07.2021,38.pdf,CH
37A/2021,Introduction of 22467/68 Varanasi-GNC Express & 69207/08 GNC-Varetha MEMU,15.07.2021,37A.pdf,IN
37/2021,"Introduction of 22467/68 Varanasi – GNC Express, 69207/08 Varetha – GNC MEMU & Varetha – Mehsana MEMU",14.07.2021,CC%2037.pdf,IN
36/2021,Renaming of 16595/96 Bengaluru-Karwar Express as “Panchaganga Express”,29.06.2021,36.pdf,RE
35,"Extension of 07303/04, 06207/08 and 56927/28 upto Karatgi",17.05.2021,CC%2035.pdf,EX
34,Change in timing of 12963 H. Nizamuddin Udaipur Mewar Express,19.04.2021,CC%2034.pdf,CH
33,Extension of 12239/40 Mumbai Central-jaipur Duronto Express upto Hisar via Sikar-Loharu,01.04.2021,CC%2033.pdf,EX
32,Restoration of terminal of 12117/18 Kochuveli-Chandigarh Kerala Sampark Kranti Express and 19577/78 Tirunelveli-Jamnagar Express upto Kochuveli instead of Ernakulam and Tirunelveli during Monsoon period.,30.03.2021,CC%2032.pdf,RE
30,Merger of 75255/26 Dharbhanga-Muzaffarpur DEMU and 63265/66 Patliputra Ram Dayalu Nagar MEMU,11.03.2021,CC%2030.pdf,ME
29,Stoppage of 14717/18 Bikaner-Haridwar Express at Kalanaur Kalan,09.03.2021,CC%2029.pdf,ST
28A,Elimination of stoppage at Majorda,10.03.2021,CC%2028A.pdf,EL
28,Introduction of train between Jasidih and Vasco-Da-Gama,05.03.2021,CC%2028.pdf,IN
27,"Restoration of 64911/12 ROK-NDLS MEMU, 54035/36 JHL-DLI Passenger, 74013/14 KKDE-DLI DEMU and restoration of 54423/24 Hissar-Delhi Passenger and 54769/70 Tilak Bridge-Rohtak Passenger upto Bhiwani as Passenger",05.03.2021,CC%2027.pdf,RE
26,Introduction of train between Kota and Mandsor,04.03.2021,CC%2026.pdf,IN
25,Introduction of 11753/54 Rewa-Itwari Express at Maihar,04.03.2021,CC%2025.pdf,IN
24,Diversion of 12403/04 Prayagraj-Jaipur Express and 13237/38/29/40 via ETW-UDMR-BHA-AGC,05.03.2021,CC%2024.pdf,DI
23,Operation of 11043/44 Lokmanya Tilak (T)-Madurai Express,03.03.2021,CC%2023.pdf,OP
22(A),Modification in 12037/38 Delhi Kotdewar Siddhabali Jan Shatabdi,02.03.2021,CC%2022A.pdf,MO
22,Introduction of 12037/38 Delhi Kotdewar Siddhabali Jan Shatabdi,25.02.2021,CC%2022.pdf,IN
21,Regarding Introduction of train between Pune & Jasidih,04.03.2021,CC%2021.pdf,RE
20(A),Modification in 12035/36 Delhi-Tanakpur Purnagir Jan Shatabdi Express,25.02.2021,CC%2020A.pdf,MO
20,Inroduction of12035/36 Delhi-Tanakpur Purnagir Jan Shatabdi Express,24.02.2021,CC%2020.pdf,IN
19,Stoppage of various train services in ER and SER,19.02.2021,CC%2019.pdf,ST
18,Inroduction of 18189/90 Tatanagar-Ernakulam Express,18.02.2021,CC%2018.pdf,IN
17,Increase in frequency of 04115/16 Prayagraj-Dr. Ambedkar Nagar (Mhow),17.02.2021,CC%2017.pdf,IN
16,22943/44 Indore-Daund Express from five days a week to daily and cancellation of 19311/12 Pune-Indore Express,16.02.2021,CC%2016.pdf,22
15,13105/06 Sealdah-Ballia Express at Andal,15.02.2021,CC%2015.pdf,13
14,"Stoppages of 02716/15 Amritsar Nanded Sachkhanad Express, 02925/26 Amritsar- Bandra(T) Paschim Express and 04609/10 Jammu Tawi-Rishikesh Express at Sahibjada Ajit Singh Nagar(Mohali)",15.02.2021,CC%2014.pdf,ST
13,Augmentation of 20601/02 Chennai-Madurai AC Express by Sleeper Coach,15.02.2021,CC%2013.pdf,AU
12,"Stoppage of train services at the various  stations over ER, SER and NFR",12.02.2021,CC%2012.pdf,ST
11,Stoppage of 22671/72 Chennai Egmore-Madurai Tejas Express at Dindigul in lieu of Kodaikanal Road,09.02.2021,CC%2011.pdf,ST
10,Introduction of new special train between Mau and Anand Vihar(T),09.02.2021,CC%2010.pdf,IN
09(A)/2021,Extension of 12349/50 Bagalpur-New Delhi Express upto Godda and its conversion into Humsafar Express,05.04.2021,CC%209A.pdf,EX
9(A),Conversion of 12349/50 Bhagalpur-Godda Express in Humsafar Express,05.04.2021,CC%209A.pdf,CO
9 (B),Change in timing of 12349/50 Bhagalpur-Godda Express in Humsafar Express,07.04.2021,CC%209B.pdf,CH
9,"Extension of 12349/50 Bhagalpur-New Delhi Express upto Godda with Commercial stoppages at Barahat, Mander Hill, Hansdia and Prayahat and conversion into Humsafar Express",03.02.2021,CC%209.pdf,EX
8,"Extension of 54769/70 Tilak Bridge-Rohtak Passenger upto Bhiwani and conversion as 14737/38 Tilak Bridge-Rohtak-bhiwani Express, change in timings and extension of 54423/24 Delhi-Bhiwani Passenger upto Hisar & Running of 14085/86 Tilak Bridge-Sirsa Express with MEMU and its diversion via Tilak Bridge-New Delhi-Patel Nagar-Delhi Cantt-Gurgaon-Rewari-Bhiwani",28.01.2021,CC%208.pdf,EX
7,"Introduction of 19483/84 Ahmedabad-Barauni Express, 19489/90 Ahmedabad-Gorakhpur Express and 19091/92 Bandra (T)-Gorakhpur Humsafar Express",25.01.2021,CC%207.pdf,IN
6,Stoppage of Passenger trains on newly constructed Arjun Nagar Halt,19.01.2021,CC%206.pdf,ST
5,"Naming of 12311/12 Howrah-Kalka Mail as ""Netaji Express""",19.01.2021,CC%205.pdf,NA
4,Delegation of powers to General Managers relating to operation of trains,06.10.2016,CC%204.pdf,DE
3,"Introduction of Janshtabdi Express between Kevadiya and Ahmedabad, Pratapnagar.",06.01.2021,CC%203.pdf,IN
2,Introduction of Express train between Kevadiya and MGR Chennai,05.01.2021,CC%202.pdf,IN
1,Introduction of two pairs of new Daily MEMU service between Kanpur Central to Brahamavart and Conversion of 71903/904 Idgah Agra-Bandikui DEMU to MEMU service,05.01.2021,CC%201.pdf,IN
