CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
234,Stoppage of 03268 Patna-Kiul MEMU Special at Hardas Bigha station,02.01.2023,CC%20234.pdf,ST
233,"Stoppage of 04 Passenger Special services viz, 03481/03482 Godda-Bhagalpur DEMU Special, 03455/03456 Dumka-Godda DEMU Special, 03485/03486 Godda-Hansdih DEMU Special and 03489/03490 Dumka-Godda DEMU Special at Kathwan Halt",02.01.2023,CC%20233.pdf,ST
232,Cancellation of services of 09173/74 (52973/74) Dr. Ambedkar Nagar-Omkareshwar Passenger Special due to closure of Dr. Ambedkar Nagar-Omkareshwar section for Gauge Conversion work.,30.12.2022,CC%20232.pdf,CA
231,Stoppage of 11027/28 Dadar-Pandharpur Express and 22731/32 Hyderabad-CSMT Express at Kem,30.12.2022,CC%20231.pdf,ST
230,Introduction of Vande Bharat Express between Howrah and New Jalpaiguri,29.12.2022,CC%20230.pdf,IN
229,Stoppage of 12041/42 Howrah-New Jalpaiguri Shatabdi Express at Barddhaman station.,29.12.2022,CC%20229.pdf,ST
228,Stoppage of 20473 Delhi Sarai Rohilla-Udaipur Chetak Express at Phulera and that of22987/88 Agra Fort-Ajmer Express at Naraina,27.12.2022,CC%20228.pdf,ST
227,Introduction of 20831/32 Sambalpur-Shalimar Express,27.12.2022,CC%20227.pdf,IN
226,Extension of 08415/16 Puri-Bhadrak upto Jaleswar,26.12.2022,CC%20226.pdf,EX
225,Stoppage of 17007/08 Secunderabad-Darbhanga Express at Wadsa and 12851/52 Bilaspur-Chennai Express at Nagbhir,15.12.2022,CC%20225.pdf,ST
224,Stoppage of various trains at Joravasan,10.12.2022,CC%20224.pdf,ST
223,Introduction of  Vande Bharat train between Bilaspur and Nagpur,09.12.2022,CC%20223.pdf,IN
221,Extension of 10 pair of train services over SCR,08.12.2022,CC%20221.pdf,EX
220,Introduction of train service between Puri and Bhadrak.,29.11.2022,CC%20220.pdf,IN
219,Diversion of 04 pair of train services via Dhadhapara-Chord-Uslapur,29.11.2022,CC%20219.pdf,DI
218,13301/02 Dhanbad-Tatanagar Express at Barabhum,29.11.2022,CC%20218.pdf,13
217,Stoppage of 19101/02 Virar-Bharauch Express and 19001/02 Virar-Surat Express at Ancheli,27.11.2022,CC%20217.pdf,ST
216,Increase in frequency of Mettupalayam-Coimbatore MEMU from 6 days a week to daily,25.11.2022,CC%20216.pdf,IN
215,Stoppage of 16105/16106 Chennai Egmore-Tiruchendur Express at Papanasam,25.11.2022,CC%20215.pdf,ST
214,Stoppage of 12303/12304 Howrah-New Delhi Poorva Express at Jamtara station,21.11.2022,CC%20214.pdf,ST
213,Stoppage of 14303/04 (old no. 54471/72) Delhi-Haridwar Express at Khatauli station.,21.11.2022,CC%20213.pdf,ST
212,Stoppage of 13483/84 Malda Town-Delhi Express at Kanchausi,21.11.2022,CC%20212.pdf,ST
211,Introduction of passenger train services between Akola and Akot.,18.11.2022,CC%20211.pdf,IN
210,Extension of 05237/05238 Bihariganj-Banmankhi DEMU Special and 05539/05540 Saharsa-Dauram Madhepura Passenger Special upto Purnea Court station,18.11.2022,CC%20210.pdf,EX
209,Stoppage of 14723/24 Kanpur-Bhiwani Kalindi Express at Nibkarori,16.11.2022,CC%20209.pdf,ST
208,Stoppage of 22987/22988 Ajmer - Agra Fort Express (Daily) at Mandawar Mahuwa Road,10.11.2022,CC%20208.pdf,ST
207,New Vande Bharat Express between Chennai and Mysuru,10.11.2022,CC%20207.pdf,NE
206,Extension of 01351/52 Diva-Pen MEMU Special upto Roha,14.11.2022,CC%20206.pdf,EX
205,Introduction of new DEMU train services between Ahmednagar and New Ashti.,14.11.2022,CC%20205.pdf,IN
204,"Stoppage of 14887/88 Rishikesh-Barmer Express, 15013/14 Jaisalmer-Kathgodam Ranikhet Express and 22483/84 Jodhpur-Gandhidham Express at Luni",10.11.2022,CC%20204.pdf,ST
203,Stoppage of 20411/12 Delhi-Saharanpur Express at Deoband station.,07.11.2022,CC%20203.pdf,ST
202,Stoppage of 13303/13304 Dhanbad-Ranchi Express (Daily) at Katrasgarh,07.11.2022,CC%20202.pdf,ST
201,Stoppage of 18625/26 Purnia Court-Hatia Express and 13303/13304 Dhanbad-Ranchi Express (Daily) at Jhalida,04.11.2022,CC%20201.pdf,ST
200,Extension of 20489/90 Barmer-Jaipur Express upto Mathura,03.11.2022,CC%20200.pdf,EX
199,Stoppage of 03611/12 Patna -Sararam Passenger at Hasan Bazar,03.11.2022,CC%20199.pdf,ST
198,Stoppage of 14727/28 Sri Ganganagar-Tilak Bridge Express at Dholipal.,03.11.2022,CC%20198.pdf,ST
197,Introduction of new train between Bhiwani and Dahar Ka Balaji (14705/06).,02.11.2022,CC%20197.pdf,IN
196,Stoppage of 19053/54 Surat-Muzaffarpur Express and 15667/68 Gandhidham-Kamakhya Express at Dahod,01.11.2022,CC%20196.pdf,ST
