CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
524,Merging of 14623/14624 Chhindwara-Delhi Sarai Rohilla Express and 14625/14626 Delhi Sarai Rohilla-Firozpur Express and withdrawal of Chhindwara-Amritsar slip Coaches,31.12.2019,524.pdf,ME
523,Proposals for IRTTC-2020,05.12.2019,523.pdf,PR
523 A,Inter Railway Time Table Conference 2020,30.12.2019,523A.pdf,IN
522,"Diversion of 13281/13282 New Tinsukia-Rajendra Nagar (T) Express, 15905/15906 Kanniyakumari-Dibrugarh Vivek Express and 22501/22502 New Tinsukia-Bangalore Express",31.12.2019,522.pdf,DI
521,Extension of 19305/19306 Indore-Kamakhya Express and 12923/12924 Indore-Nagpur Express upto Dr. Ambedkar Nagar(Mhow),31.12.2019,521.pdf,EX
520,Implementation of Monsoon Time Table 2020 over Konkan Railway,23.12.2019,520.pdf,IM
519,Analysis of data pertaining to stoppages,19.12.2019,519.pdf,AN
519 A,Clarification regarding CC No. 519,24.12.2019,519A.pdf,CL
518,Stoppage of 22479/22480 New Delhi-Lohian Khas Sarbat Da Bhala Express at Lehra Gaga,24.12.2019,518.pdf,ST
517,"Extension of 58429/30,58431/32  Khurda Road-Nayagarh Town Passenger upto Mahipur",20.12.2019,517.pdf,EX
516,Feasibility of operating 12925/26 Bandra Terminus-Amritsar Paschim Express via Chandigarh,19.12.2019,516.pdf,FE
515,Diversion of 11021/22 Dadar-Tirunelveli Express and certain other trains via Yesvantpur,19.12.2019 ,515.pdf,DI
514,Diversion of 20505/06 Dirbugarh-New Delhi Rajdhani Express (Bie-Weekly) and 12525/26 Dibrugarh-Kolkata Express (weekly) via Bogibeel Bridge.,18.12.2019,514.pdf,DI
513,Diversion of 12735/36 Secunderabad-Yesvantpur Garib Rath Express via Sri Sai Prasanthi Nilayam,19.12.2019,513.pdf,DI
511,Diversion of 16593/94 H.S. Nanded-KSR Bengaluru express between Yelahanka and KSR Bengaluru,18.12.2019,511.pdf,DI
510,Extension of 12461/62 Delhi-Jodhpur Mandore Express upto Barmer,18.12.2019,510.pdf,EX
509,Augumentation of 15017/18 Lokmanya Tilak (T)-Gorakhpur Kashi Express by WGACCN,17.12.2019,509.pdf,AU
508, Extension of 12771/72 Secunderabad-Nagpur Express upto Raipur,17.12.2019,508.pdf,EX
507,Shifting of trains from Varanasi to Manduadih NER,16.12.2019,507.pdf,SH
506,Change in timings of 52949 Veraval-Delvada passenger daily,16.12.2019,506.pdf,CH
505,Punctuality related Grievances redressal on Rail Madad.,26.12.2019,505.pdf,PU
504,Increase in frequency of 13063/64 Howrah-Balurghat Express from Bi-weekly to Five days in a week,11.12.2019,504.pdf,IN
503,"Stoppage of 17317/18 Hubballi-Lokmanya Tilak (T) Express, 11021/22 Dadar-Tirunelveli Express & 11005/06 Dadar-Puducherry Express at Raybag",10.12.2019,503.pdf,ST
502,Conversion of 57305/06 Kacheguda-Guntur Passenger into Express,05.12.2019,502.pdf,CO
501,Stoppage of 75215/16 Raxaul-Patliputra DEMU at Dhang w.e.f. 16.12.2019,12.11.2019,501.pdf,ST
501A,Stoppage of 75215/16 Raxaul-Patliputra DEMU at Dhang w.e.f. 18.12.2019 instead of 16.12.2019,12.12.2019,501A.pdf,ST
500,Extension of 22101/22102 CSMT-Manmad Rajya Rani Express upto H.S. Nanded,02.01.2020,500.pdf,EX
500A,Modification in CC No. 500,03.01.2020,500A.pdf,MO
499,Speeding up revision in timings & days of operation of 12048 New Delhi-Firozpur Cantt Shatabdi Epxress,28.11.2019,499.pdf,SP
498,Introduction of train between Garh Baruari and Supaul by extending Saharsa-Garh Baruari Passenger,26.11.2019,498.pdf,IN
497,Introduction of New services between Mandan Mishra halt and Jhanjharpur section by extending 55579/55580 Darbhanga-Mandan Mishra Passenger upto Jhanjharpur,28.11.2019,497.pdf,IN
496,Speeding up and change in Timing of 16381/16382 Kanniyakumari-Mumbai CSMT Express and Extension of 56310/56315 Nagarcoil-Thiruvanathpuram,27.11.2019,496.pdf,SP
495,Shifting of maintenance and Rake of 63298/97 Balla-Varanasi MEMU from Jhaha to Aunrihar,21.11.2019,495.pdf,SH
494,Stoppage  of 18477/78 Puri-Haridwar Utkal Kalinga Express (Daily) 19031/32 Ahmedabad-Haridwar Yoga Express (Daily) 14645/46  Delhi-Jammu Tawi Shalimar Express (Daily)  14681/82 New Delhi-Jalandhar Express (Daily) 12903/04 Mumbai Central-Amritsar Golden Temple Mail Daily and 14521/22 Delhi-Ambala Express  Daily at Sakhoti Tanda Station,21.11.2019,494.pdf,ST
493,Increase in frequency of 18117/18 Rourkela-Gunupur Rajya Rani Express,20.11.2019,493.pdf,IN
492,Increase in frequency of 12089/90 Shivamogga Town-Yesvantpur Janshatabdi Express from 6 days a week to daily,20.11.2019,492.pdf,IN
491,Feasibility of running of 12045/46 New Delhi-Chandigarh Shatabdi Express on Sunday,15.11.2019,491.pdf,FE
490,"Discontinuation of three Slip Coaches (GSCN-1, ACCN-1 & SLR-1) running between Sealdah and Haldibari by 12343/44 Sealdah-Jammu Tawi Darjeeling Mail and 55751/52 New Jalpaiguri-Haldibari Passsenger",15.11.2019,490.pdf,DI
489,Diversion of two pairs of trains viz 16339/40 CSMT- Mumbai-Nagarcoil Express  and 11021/22 Dadar-Tirunelveli Express via Namakkal bypassing Erode and 12507/08 Thiruvananthpuram-Silchar Aronai Express,18.11.2019,489.pdf,DI
489 (A),16339/40 CSMT- Mumbai-Nagarcoil Express  and 11021/22 Dadar-Tirunelveli Express via Namakkal bypassing Erode at Namakkal,18.11.2019,489A.pdf,16
