CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
1,Stoppage of 15231/32 Panwel Barauni-Gonda Express at Suraimanpur,03.01.2020,CC%2001.pdf,ST
2,Increase in frequency of 17613/14 Panvel-H.S.Nanded Express from 6 days a week to daily,10.01.2020,CC%2002.pdf,IN
3,Extension of 19225/26 Jammu Bhatinda Express upto Jodhpur,10.01.2020,CC%2003.pdf,EX
3 A,Modification  in Message issued by vide CC No. 3,14.01.2020,CC%2003%20A.pdf,MO
4,Conversion of 57257/58  Kakinada Port-Tirupati Passenger into Express trains alongwith short termination of 57257/58 and 57273/74 and 57273/74 Hubbali-Tirupati Passenger at Renigunta. ,13.01.2020,CC%2004.pdf,CO
5,Short Termination of 17325/26 Belagavi-Ashokapuram Vishwamanav Express at Mysuru,09.01.2020,CC%2005.pdf,SH
6,"Introduction of train service between Anand vihar (T) to Madhupur ie. 22465/66 ANVT-MDP Express, 22459/60 ANVT-MDP Humsafar Express",13.01.2020,CC%2006.pdf,IN
6 A,Modification  in Message issued by vide CC No. 6,13.01.2020,CC%2006%20A.pdf,MO
7,Extension of 19807/08 Kota-Jaipur Express (Daily) upto Hisar  as 19807/08 Kota-Hisar Express (04 days) via Loharu & 19813/14 Kota-Hisar Express via Churu. ,14.01.2020,CC%207.pdf,EX
8,Extension 19717/18 JP-CDG Express upto Daulatpur Chowk,25.02.2020,CC%2008.pdf,EX
9,Speeding up of trains,28.01.2020,CC%2009.pdf,SP
10,Speeding up of trains,10.02.2020,CC%2010.pdf,SP
11,Introduction of new trains between Supaul and Saharsa & Banmukhi and Barhara Kothi and change in timings of 55501/02 Supaul-Saharsa Passenger and 55511/12 Banmakhi-barhara Kothi Passenger.,03.02.2020,CC%2011.pdf,IN
12,Introduction of new trains on Darbhanga-Sakri-Jhanjharpur Section and change in timings of 55579 Darbhanga-Jhanjarpur Passenger,03.02.2020,CC%2012.pdf,IN
13,Review of FTR policy (Earmark upto 5 rakes),30.01.2020,CC%2013.pdf,RE
14,Change in timings of 12533 LJN-CSMt Pushpak Express,14.02.2020,CC%2014.pdf,CH
15,Stoppage of 12087/88 Naharlagun-Guwahati Express and 15617/18 Guwahati-Naharlagun Dorji Polo Express at Misamari,05.02.2020,CC%2015.pdf,ST
16,Extension of 15009/10 Gorakhpur-Lakhimpur Pass upto Mailani 55066/61 Lakhimpur-Lucknow Passenger upto mailani,10.02.2020,CC%2016.pdf,EX
17,Conversion of 22205/06 Express & 22665/66 Uday Express,13.02.2020,CC%2017.pdf,CO
17 A,Modification  in Message issued by vide CC No. 17,13.02.2020,CC%2017%20A.pdf,MO
18,Change in timings and extension of 16523/24 and certain other trains,13.02.2020,CC%2018.pdf,CH
18 A,Modification  in Message issued by vide CC No. 18 ,14.02.2020,CC%2018%20A.pdf,MO
19,Conversion of passenger train into Express train,14.02.2020,CC%2019.pdf,CO
20,Change of timings of 12087/88 Naharlagun-Guwahati Shatabdi and 12085 GHY-DBRG Shatabdi Express,14.02.2020,CC%2020.pdf,CH
21,Conversion of passenger train into Express train,14.02.2020,CC%2021.pdf,CO
22,Extension of 13409/10 Malda Town-jamalpur Intercity Express upto Kiul,18.02.2020,CC%2022.pdf,EX
23,Change in days of 17013/14 Pune-Hyderabad Express (tri-weekly),18.02.2020,CC%2023.pdf,CH
24,13303/04 Dhanbad-Ranchi Express and 13319/20 Deoghar-Ranchi Express and 13319/20 Deoghar-Ranchi Express as Daily.,19.02.2020,CC%2024.pdf,13
26,Extension of 13053/54 Howrah-Siuri Express upto Radhikapur,25.02.2020,CC%2026.pdf,EX
28,introduction of two pairs of MEMU services between PEN and DIVA,04.03.2020,CC%2028.pdf,IN
29,Attachment of one ACCN and on GSCN in 14623/24 Chhindawara-Delhi Sarai Rohilla Patalkot Express and in 59385/86 Chhindwara-Indore Pench Valley Passenger.,09.03.2020,CC%2029.pdf,AT
30,"Introduction of train b/w Yesvantpur- Karwar Express and special train b/w Karwar- Vasco-da Gama by cancellation of 16513/14, 16523/24 SBC-Karwar Express and Partial cancellation of 70103/04 Pernem-Karwar DEMU",06.03.2020,CC%2030.pdf,IN
31,Extension of 19663/64 Dr. Ambekdar Nagar-Khajuraho Express (4 days of week) upto Prayagraj Jn.,18.03.2020,CC%2031.pdf,EX
32,Discussion of trains on SCR via Gulapalyamu-Kalluru by passing Gooty,16.03.2020,CC%2032.pdf,DI
33,Speeding up and Shifting of terminal of 17318 Loknmanya-Hubbali Express from LTT to Dadar. ,17.03.2020,CC%2033.pdf,SP
34,"Naming of 13053/54 HWH-RDP Express as ""Kalik Express""",19.03.2020,CC%2034.pdf,NA
36,Diversion of 14803/04 BGKT-ADI Express & 12489/90 BKM-DDR express via Paten-Bhiladi. ,27.04.2020,CC%2036.pdf,DI
37,"Withdrawal of stoppage & conversion of 56501/02, 09/10 & 69/70",27.04.2020,CC-37.pdf,WI
37A,Modification in CC No. 37,19.05.2020,CC-37A.pdf,MO
38,Running of Circular train from Chennai to Chittor,30.04.2020,CC-38.pdf,RU
39,Introduction of Special train between KSR Bengaluru and Belagavi and that between KSR Bangaluru and Mysuru,20.05.2020,CC-39.pdf,IN
40,Stoppage of 02425/26 New Delhi- Jammu Tawi AC Spl (Daily) at Pathankot Cantt.,29.05.2020,CC-40.pdf,ST
41,Amalgamation/De amalgamation  of 05 pair of trains over NWR,10.06.2020,CC-41.pdf,AM
42,Creation of 03 hrs corridor block margin on Mumbai-New Delhi route and certain other section in Zero Based time tabling,10.06.2020,CC-42.pdf,CR
42A,Modification in CC No. 42 A,22.06.2020,CC-42A.pdf,MO
43,"Change in terminal, change in days, Diversion and Short termination of trains",10.06.2020,CC-43.pdf,CH
44,Review of printing of abstract page of TAG in Public Time Table,10.06.2020,CC-44.pdf,RE
45,Elimination of enroute amalgamation/bi-fraction of 14887/88 Barmer-Kalka Slip coaches at Ambala. Discontinuation of 14887/88 and Running of 24887/88 Barmer -Rishikesh,22.06.2020,CC-45.pdf,EL
46,Change in timings of 06597/98 KSR Bengaluru-Belagavi Spl and 06503/04 KSR-MYS Spl and increase in its frequency,24.06.2020,CC-46.pdf,CH
47,Standardization of rakes of trains running with LHB stock ,24.06.2020,CC-47.pdf,ST
47B,Standardization of Rake running with LHB coaches,19.10.2020,CC%2047B.pdf,ST
48,Short termination of 18631/32 RNC-Ajmer Express at MDU and splitting of some trains and certain other matters under ZBTT,29.06.2020,CC-48.pdf,SH
49,Extension of 19037/38 Bandra-Gorakhpur Express & 19039/40 BDTS-MFP upto Barauni with single number and extension of 19715 JP-LKO Express upto Gomti Nagar,01.07.2020,CC%2049.pdf,EX
49A,Modification in CC No. 49,01.07.2020,CC%2049-A.pdf,MO
50,Attachment of FTR coaches,01.07.2020,CC-50.pdf,AT
51,Discontinuation of link train 51821/51822 Jhansi-Khajuraho,08.07.2020,CC-51.pdf,DI
52,Changes in Zero base time table on Central Railway,17.07.2020,CC-52.pdf,CH
53,Diversion of 12237/12238 Varanasi-Jammu Express,20.07.2020,CC-53.pdf,DI
53A,Restoration of the route of 12237/12238 Varanasi-Jammu Express,07.08.2020,CC-53A.pdf,RE
53B,Restoration of original route of train in Lucknow Division,18.09.2020,CC-53%20B.pdf,RE
54,Partial cancellation of trains proposed by Zonal Railways,20.07.2020,CC-54.pdf,PA
54A,Change in terminals of trains,11.08.2020,CC-54A.pdf,CH
55,Extension of 13015/13016 Howrah-Bhagalpur Kaviguru Express upto Jamalpur,21.07.2020,CC-55.pdf,EX
