CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
56,Extension of 11061/11062 Lokmanya Tilak (T)-Darbhanga Express upto Jaynagar,21.07.2020,CC-56.pdf,EX
56A,Introduction of  train between Islampur and Natesar, 21.07.2020,CC-56A.pdf,IN
57,"Short termination, Diversion and Cancellation of trains over SWR", 27.07.2020,CC-57.pdf,SH
58,Diversion of 12751/12752 H.S Nanded-Jammu Tawi Express via Ambala-Rajpura-Dhuri-Ludhiana,27.07.2020,CC-58.pdf,DI
59,Withdrawal of Link  service from 11107/08 Bundelkhand Express & other train services,28.07.2020,CC-59.pdf,WI
60,Conversion of 11101/11102 Pune-Gwalior Express,27.07.2020,CC-60.pdf,CO
60A,Conversion of 11101/11102 Pune-Gwalior Exp.(Weekly) & 11103/11104 Jhansi-Bandra (T) Express into Superfast Express,30.07.2020,CC-60A.pdf,CO
61,Extension of 15547/15548 Jaynagar-Lokmanya Tilak (T) Exp.,27.07.2020,CC-61.pdf,EX
61A,Extension of 15547/15548 Jaynagar-Lokmanya Tilak (T) Express upto Raxaul,04.08.2020,CC-61A.pdf,EX
62,Changes in Zero base Time Tabling,27.07.2020,CC-62.pdf,CH
63,De-linking of 29019/29020 Merrut City-Mandasor Express,06.08.2020,CC-63.pdf,DE
64,Increase in frequency of 15905/15906 Dibrugarh-Kanniyakumari Vivek Exp.,28.07.2020,CC-64.pdf,IN
65,Extension of 64589/90 CNB-PHP upto Etawah,27.11.2020,CC%2065.pdf,EX
66,Delinking of 29019/29020 Meerut City-Mandasor Exp.,"27.07.2020",CC-66.pdf,DE
66 A,Speeding of 2 Mail/Express into Superfast service.,17.12.2020,CC%2066%20A.pdf,SP
67,Speeding UP of 18 Trains with average speed of above 55 KMPH,06.08.2020,CC-67.pdf,SP
68,Discontinuation of slip coaches/link trains.,07.08.2020,CC-68.pdf,DI
68 A,Discontinuation of slip coaches/link trains.,28.08.2020,68-A-Coaching-Circular.pdf,DI
69,Extension of  56263/64 Mysuru-KSR Bengaluru Passenger & 56565/66 Arsikere-Mysore Passenger upto Nanjangud and Change in timings of 56513 Karaikal-KSR Bengaluru Passenger,07.08.2020,CC-69.pdf,EX
70,Augmentation of 11105/06 Jhansi-Kolkata Pratham Swatantrata Sangram Express from 15 coaches to 24 coaches,28.08.2020,CC-70(1).pdf,AU
71,Diversion of 22981/22982 Kota-Shri Ganganagar,10.08.2020,CC-71.pdf,DI
72,"Introduction of New Train Between Supaul,",11.08.2020,CC-72.pdf,IN
73,Introduction of New Train Between Ghoswar and Vaishali,13.08.2020,CC-73.pdf,IN
74,Splitting  of 14163/64 Prayagraj JN-Meerut Exp.,17.08.2020,CC-74.pdf,SP
75,Speeding up of 11111/12 Gwalior-Balrampur Exp.,14.08.2020,CC-75.pdf,SP
76,Splitting of 69155/56 Ratlam-Mathura at Kota and running of new service between Kota and Mathura,19.08.2020,CC-76.pdf,SP
77,"Sanction for the expenditure of Rs. 45,74,550/- for conducting a study for path optimization to increase freight trains speed under ZBT by Indian School of Business, Hyderabad",19.08.2020,CC-77.pdf,SA
78,"Extension and change in terminal partial cancellation, diversion and cancellation of trains.",20.08.2020,CC-78.pdf,EX
79,Diversion of 12467/68 Jaipur-Jaisalmer Express,24.08.2020,,DI
79A,Diversion of 12467/68 Jaipur-Jaisalmer Leelan Express,08.09.2020,CC-79%20A.pdf,DI
79 B,Proposal of NWR,28.12.2020,CC%2079%20B.pdf,PR
80,Attachment of 1 GS & 1 SLR in 00950 NGL-Okha Parcel Spl. On 27.08.2020,24.08.2020,CC-80.pdf,AT
81,Extension of 12323/24 Howrah-ANVT Express upto Barmer,25.08.2020,CC-81.pdf,EX
81A,Extension of 12323/24 Howrah-Anand Vihar (T) Express upto Barmer,08.09.2020,CC-81%20A.pdf,EX
82,Attachment of G.S. Coaches in parcel special train,26.08.2020,CC-82.pdf,AT
83,Partial Cancellation of some train in SCR,31.08.2020,CC-83.pdf,PA
84,Cancellation of 14807/08 Jaipur-Alwar Express and 59723/24 Jaipur Phulera Passenger,02.09.2020,CC-84.pdf,CA
85,Change in terminal of 17255/56 Narsapur-Hyderabad Express from Hyderabad to Lingampalli,22.09.2020,CC-85.pdf,CH
86,Running of special trains,23.09.2020,CC-86.pdf,RU
87,Introduction of a DEMU Service,16.12.2020,CC%2087.pdf,IN
88,Attachment of LVPH by Humsafar Express,28.09.2020,CC%2088.pdf,AT
89,Change in nature of Passenger trains into Mail Express,20.10.2020,CC%2089.pdf,CH
90,Printing and Publication on TAG-20,13.10.2020,CC%2090.pdf,PR
91,Festival Special-2020,13.10.2020,CC%2091.pdf,FE
91A,Festival Special-2020,15.10.2020,CC%2091A.pdf,FE
91B,Festival Special-2020,21.10.2020,CC%2091B.pdf,FE
92,Attachment of General Coaches in Mail/Express trains,21.10.2020,CC%2092.pdf,AT
93,Change in timings and increase in frequency of 14803/04 Ahmedabad-Bhagat ki Kothi Express ,09.11.2020,CC%2093.pdf,CH
94,Speeding of 11105/06 Kolkata-Jhansi Pratham Swatantrata Senani Express,17.11.2020,CC%2094.pdf,SP
95,"12927/28 Vadodara-Mumbai Express, 22903/04 Vadodara-Varanasi Mahamana Express and 22905/06 Vadodara- Rewa Mahamana Express upto Kevadiya and introduction of MEMU service between Pratapnagar and Kevadiya. ",18.11.2020,CC%2095.pdf,12
68B,Modification in CC No. 68,19.11.2020,CC%2068%20B.pdf,MO
96,12723/24 Secunderabad-Shalimar AC Express & 22849/50 Secunderabad-Shalimar Express via revised route,23.11.2020,CC%2096.pdf,12
97,12723/24 Secunderabad-Shalimar AC Express & 22849/50 Secunderabad-Shalimar Express via revised route,23.11.2020,CC%2097.pdf,12
98,Stoppage of 12221/22 Howrah-Pune Duranto Express and 12261/62 Mumbai-CSMT-Howrah Duranto Express at Raipur,24.11.2020,CC%2098.pdf,ST
68C,Restoration of Slip Coaches services,24.11.2020,CC%2068%20C.pdf,RE
99,Revised route of 16359/60 Ernakulam-Patna Express and five other trains and extension of 14815/16 Bhagat ki Kothi- Tambram Humsafar Express upto Tiruchchirappalli ,26.11.2020,CC%2099.pdf,RE
100,Stoppage of 22659/60 Kochuveli-Dehradun Express at Ernakulam and Alappuzha ,27.11.2020,CC%20100.pdf,ST
101,Introduction of Bhagalpur-Godda DEMU EXPRESS,07.12.2020,CC%20101.pdf,IN
102,Introduction of train service between Ahmedabad and Kevadia ,10.12.2020,CC%20102.pdf,IN
103,Running of new train between Okha & Howrah,08.12.2020,CC%20103.pdf,RU
104,Approval of the proposal of NFR,11.12.2020,CC%20104.pdf,AP
105,Approval of the proposal of NR,08.12.2020,CC%20105.pdf,AP
106,Approval of the proposal of SWR,08.12.2020,CC%20106.pdf,AP
108,Approval of proposal of ECoR for diversion,08.12.2020,CC%20108.pdf,AP
108 B,Approval of the proposal of SER,28.12.2020,CC%20108%20B.pdf,AP
109,"Stoppage of 20817/18, 22811/12, 22823/24 BBS-NDLS Rajdhani at Prayagraj",11.12.2020,CC%20109.pdf,ST
110,Approval of the proposal of SR,11.12.2020,CC%20110.pdf,AP
111,Train between Tuticorin and Vanchi Maniyachchi,11.12.2020,CC%20111.pdf,TR
113,"Change in days of 15548 LTT-Raxaul Express change in days of 14115/16 MHOW-Prayagraj Express and elimination of slip coach in 14511/12 Prayagraj Khurja Express as proposed by CR, NR and NR",17.12.2020,CC%20113.pdf,CH
114,Extension of 12917/18 ADI-NZM S.K. Express upto Kevadiya,17.12.2020,CC%20114.pdf,EX
115,Diversion of 12389/90 Gaya-MAS Express ,21.12.2020,CC%20115.pdf,DI
116,Stoppage of 12891/92 BBS-Bangriposi Express at Rajlukah,22.12.2020,CC%20116.pdf,ST
117,Operation of 14085/86 Tilak Bridge-Sirsa Express and 14019/20 Agaratala-ANVT Tripur Sundari Express,23.12.2020,CC%20117.pdf,OP
118,Speeding up of 18495/96 BBS-RMM Express,24.12.2020,CC%20118.pdf,SP
