CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
211,18477 Puri-Yog Nagari Rishikesh Kalinga Utkal Express at Jaleswar,12.03.2024,211.pdf,18
209,Stoppage of 20959/60 Valsad-Vadnagar Express at Bilimora,13.03.2024,209.pdf,ST
208,Introduction of MEMU Special train between Khandwa and Sanawad,08.03.2024,208.pdf,IN
207,"Stoppage of 12871/72 Howrah-Titlagarh Ispat Express, 22861/62 Howrah-Kantabanji Ispat Express & 13287/88 Durg-Ara South Bihar Express at Sonua",11.03.2024,207.pdf,ST
206,15067/15068 Gorakhpur-Bandra (T) Express and 11079/11080 Lokmanya Tilak (T)-Gorakhpur Express at Pokhrayan.,11.03.2024,206.pdf,15
205A,Extension of 06614/13 Kota-Jhalawar City Special upto Ghatoli & introduction of 06605/06 Ghatoli-Jhalawar City Special,15.03.2024,205A.pdf,EX
205,Extension of 05838/37 Kota-Junakhera Passenger Special and 05840/39 Kota-Jhalawar City Passenger Special upto Aklera,11.03.2024,205.pdf,EX
204,Stoppage of 22987/88 Ajmer-Agra Fort Express & 82653/54 Yesvantpur-Jaipur Express at Kishangarh,09.03.2024,204.pdf,ST
203,Stopapge of 18613/18614 Ranchi-Chopan at Meralgram,09.03.2024,203.pdf,ST
202,Stoppage of 15501/02 Raxaul-Jogbani at Adapur and Chauradano,09.03.2024,202.pdf,ST
201,Stoppage of train services at Fateha and Salauna,09.03.2024,201.pdf,ST
200A,"Stoppage of MGR Chennai-Gaya Express at Chanda Fort, 18573/74 Visakhapatnam-Bhagat Ki Kothi Express at Ashok Nagar, 20482 Tiruchirappalli-Bhagat ki kothi Humsafar Express, 19053/54 Surat-Muzaffarpur Express, 20971/72 Udaipur-Shalimar Express, 18207/08 Durg-Ajmer Express at Mungaoli, 20961/62 Udhna-Banaras Express & 22193/94 Daund-Gwalior Express at Badarwas",11.03.2024,200A.pdf,ST
200,"Stoppage of 12149/50 Danapur-Pune Express, 17020 Hyderabad-Ajmer Express & 19482/84 Ahmedabad-Barauni Express at Khirkiya",09.03.2024,200.pdf,ST
199A,Stoppage of train services at Nadiad and WankanerStoppage of train services at Nadiad and Wankaner,11.03.2024,199A.pdf,ST
199,Stoppage of 22455/56 Sainagar-Shirdi Kalka Express at Khandwa,09.03.2024,199.pdf,ST
198A,"Stoppage of train services at Ait, Basti, Dhaulpur, Dullhapur, Gaur, Jhinjhak, Kannauj, Moth, Orai , Rura, Sirathu, Sultanpur Lodhi & Suriawan",11.03.2024,198A.pdf,ST
198,"Stoppage of 14319/14320 Indore-Bareilly Express at Babrala, 18237/18238 Korba-Bilaspur Amritsar Chattisgarh Express at Dhaura, 11123/11124 Gwalior-Barauni Express at Ekma, 19609 Udaipur-Yog Nagari Rishikesh Express at Kandhla, 01622 Saharanpur-Delhi Special, 14305/06 Delhi-Haridwar Express & 145/46 Delhi-Saharanpur Express at Sona Arjunpur",09.03.2024,198.pdf,ST
197,Introduction of train between Mettupalayam and Tuticorin & between Mangaluru and Rameswaram,15.03.2024,197.pdf,IN
196,Extension of 22925/26 Ahmedabad-Jamnagar Vande Bharat Express upto Okha,09.03.2024,196.pdf,EX
195,Introduction of Vande Bharat Express between H. Nizamuddin and Khajuraho,09.03.2024,195.pdf,IN
194,Introduction of  Vande Bharat Express between Ranchi and Varanasi,09.03.2024,194.pdf,IN
193A,Stoppage of Kalburgi-SMV Bengaluru Vande Bharat Express at Yadgir,11.03.2024,193A.pdf,ST
193,Introduction of Vande Bharat Express between Kalburgi and SMV Bengaluru,11.03.2024,193.pdf,IN
192,Introduction of Vande Bharat Express between Lucknow and Dehradun,09.03.2024,192.pdf,IN
191A,Introduction of  Vande Bharat Express between Bhubaneswar and Visakhapatnam,11.03.2024,191A.pdf,IN
191,Introduction of  Vande Bharat Express between Puri and Visakhapatnam,09.03.2024,191.pdf,IN
190A,"Stoppage of New Jalpaiguri-Patna Vande Bharat Express at Naugachia, Khagaria, Begusarai & Patna Saheb",11.03.2024,190A.pdf,ST
190,Introduction of  Vande Bharat Express between New Jalpaiguri and Patna,09.03.2024,190.pdf,IN
189,Introduction of Vande Bharat Express between Patna and Gomtinagar,15.03.2024,189.pdf,IN
188,Introduction of Vande Bharat Express between Mysuru and MGR Chennai Central,15.03.2024,188.pdf,IN
187,Introduction of  Vande Bharat Express between Secunderabad and Visakhapatnam,15.03.2024,187.pdf,IN
186,Introduction of  Vande Bharat Express between Ahmedabad and Mumbai Central,15.03.2024,186.pdf,IN
185A,"Stoppage of 17479/17480 Puri-Tirupati Express & 17481/17482 Bilaspur-Tirupati Express at Kovvur, 16791/16792 Tirunelveli-Palakkad Palaruvi Express at Auvaneswsarem & Ezhukone, 16348 Mangaluru Central-Thiruvananthapuram Central Express at Mavelikara and 16343/44 Thrivanathapuram Central-Madurai Amritha Express at Idapalli",11.03.2024,185A.pdf,ST
185,"Stoppage of 16366 Nagercoil-Kottayam Express at Kapil, Iravipuram & Perinad, 16127 Chennai Egmore-Guruvayur Express at Kadakavur & 16729/30 Madurai-Punalur Express at Iravipuramand 16366 Nagercoil-Kottayam Express at Perinad",09.03.2024,185.pdf,ST
184,Stoppage of 01487/88 Pune-Harangul Special at Parewadi and 01423/24 Pune-Miraj Special at Kirloskarvadi,09.03.2024,184.pdf,ST
183,stoppage of 14321/22 Bareilly-Bhuj Express at Bhabhar,12.03.2024,183.pdf,ST
182,Stoppage of 12719/20 Jaipur-Hyderabad Express at Burhanpur,12.03.2024,182.pdf,ST
180,"Stoppage of 20415/20416 Varanasi-Indore Kashi Mahakal Express at Orai, 11123/11124 Gwalior-Barauni Express at Moth &  Ait, 14113/14114 Subedarganj -Dehradun Express at Dibai, 18181/18182 Tatanagar-Thawe Express at Daudpur, 04429 Delhi-Saharanpur Special at Sona Arjunpur and 01622 Saharanpur-Delhi Special at Khandrawali", ,180.pdf,ST
179,Stoppage of 19323/24 Dr. Ambedkar Nagar-Bhopal Express at Sehore,07.03.2024,179.pdf,ST
178,Stoppage of 18029/18030 Lokmanya Tilak (T) -Shalimar Express at Galudih,07.03.2024,178.pdf,ST
177,Stoppage of train servicess over SCR,07.03.2024,177.pdf,ST
176,Stoppage of 16847/16848 Mayiladuturai-Sengottai Express and 16867/16868 Villupuram-Dindigul Express at Vadamadura ,07.03.2024,176.pdf,ST
175,Stoppage of 11201/02 Shahdol-Nagpur Express at Birsinghpur ,07.03.2024,175.pdf,ST
174,Extension of 16231/16232 Mayiladuturai-Mysuru Express upto Cuddalore Port and increase in frequency of 16233/16234 Mayiladuturai-Tiruchchirappalli Express from 5 days a week to daily along with delinking of its rake.,07.03.2024,174.pdf,EX
173,Introduction of new train from Jhanjharpur-Vaachaspati Nagar passenger service,07.03.2024,173.pdf,IN
172,"Stoppage of 16348 Mangaluru Central-Thiruvananthapuram Central Express at Varkala Shivagiri, 16101/16102 Chennai Egmore-Kollam Express at Tenmalai and 20923/20924 Tirunelveli-Gandhidham Humsafar Express at Alappuzha",06.03.2024,172.pdf,ST
171,Stoppage of 12791/12792 Secunderabad-Danapur Express at Jamikunta,06.03.2024,171.pdf,ST
170,Stoppage of 12215 Delhi Sarai Rohilla-Bandra (T) Garib rath Express & 09274 Ahmedabad-Anand MEMU at Nadiad,07.03.2024,170.pdf,ST
169,Stoppage of train services at Garpos and Bamra,06.03.2024,169.pdf,ST
168,Introduction of Paradeep-Kendujhargarh MEMU Service,04.03.2024,168.pdf,IN
167,Reverse timings of 18617/18618 Ranchi-Madhupur Express and extension upto Asansol,04.03.2024,167.pdf,RE
166,Increase in frequency of 14009/14010 Anand Vihar (T)-Bapudham Motihari Express from Bi-Weekly to Tri-Weekly and change in timings of 15621 Kamakhya-Anand Vihar (T) Express,04.03.2024,166.pdf,IN
165,Increase in frequency of 22165/66 Bhopal-Singrauli Express from Bi-weekly to Tri-Weekly & 22167/68 Singrauli-H. Nizamuddin Express from Weekly to Bi-Weekly,04.03.2024,165.pdf,IN
164,Stoppage of 22113/22114 Lokmanya Tilak (T)- Kochuveli Express at Kundapura,02.03.2024,164.pdf,ST
163,"Extension of 01862/61, 01864/63, 01866/65 & 01868/67 Konch-Ait Shuttles upto Sarsoki",06.03.2024,163.pdf,EX
162,Stoppage of 12467/68 Jaisalmer-Jaipur Leelan Express at Nawa City,06.03.2024,162.pdf,ST
161A,Additional stoppage of 12071/72 Mumbai CSMT-Jalna-Hingoli Jan Shatabdi Express at Partur & Selu,11.03.2024,161A.pdf,AD
161,Stoppage of 12071/72 Mumbai CSMT-Jalna Jan Shatabdi Express upto Hingoli,04.03.2024,161.pdf,ST
160,Introduction of 1 pair MMTS service between Ghatkesar and Lingampalli,01.03.2024,160.pdf,IN
159,Stoppage of 15089/15090 Godda-Gomtinagar Express at Poreyahat,01.03.2024,159.pdf,ST
158,Stoppage of 22213/22214 Shalimar-Patna Duronto Express at Jasidih,01.03.2024,158.pdf,ST
157,Stoppage of 12941/42 Bhavnagar-Asansol Exprss at Shri Mahaveerji,01.03.2024,157.pdf,ST
156,Stoppage of 12789/12790 Kacheguda-Mangaluru Central Express at Nileshwar,01.03.2024,156.pdf,ST
155,Change in terminal of various trains from Ahmedabad to Sabarmati and Gandhinagar Capital with additional stoppage at Chandlodiya in lieu of  that at Ahmedabad.,01.03.2024,155.pdf,CH
154,Extension of 16589/90 Bengaluru-Miraj Rani Chennamma Express and 11411/12 Parli Vajinath-Miraj DEMU upto Sangli.,01.03.2024,154.pdf,EX
153,Stoppage of 11464/63 Jabalpur-Veraval Somnath Express at Bankhedi,01.03.2024,153.pdf,ST
152,"Stoppage of 02563/02564 Barauni-New Delhi Special, 02569/02570 Darbhanga-New Delhi Special and 12203/12204 Saharsa-Amritsar Garibrath Express at Deoria Sadar",29.02.2024,152.pdf,ST
151,Stoppage of 11903/04 Virangana Lakshmibai Jhansi - Etawah Express at Sonagir,29.02.2024,151.pdf,ST
150,Introduction of new train between Dehradun and Tanakpur,01.03.2024,150.pdf,IN
149,"Stoppage of 19411/12 Sabarmati-Daulatpur Chowk Express  at  Sojat Road, 20491/92 Jaisalmer-Sabarmati Express at Tivari, 14087/88 Delhi-Jaisalmer Runicha Express at Osiyan & 22481/82 Jodhpur-Delhi Expressd at Pipar Road",01.03.2024,149.pdf,ST
148,"Stoppage of 14705/14706 Bhiwani – Dahar Ka Balaji Express at Bhagega, Kachera &  Jhilo and 04705/04706 Sriganganagar-Jaipur Special (Weekly) & 14701/02 Sriganga Nagar-Bandra (T) Aravali Express at Palsana ",01.03.2024,148.pdf,ST
147,"Stoppage of 20957/58 Indore-New Delhi Express, 12925/26 Mumbai Central-Amritsar Paschim Express at Khachrod and 19711/12 Jaipur-Bhopal Express at Tarana Road",01.03.2024,147.pdf,ST
146,Stoppage of 11411/12 Parli Vajinath-Miraj DEMU and 01413/14 Nizamabad-Pandharpur Special at Murud,01.03.2024,146.pdf,ST
145,22629/22630 Dadar – Tirunelveli Express at Mookambika Road Byndoor,01.03.2024,145.pdf,22
144,"Merger of 17626 Repalle-Secunderabad Express with 07591 Secunderabad-Vikarabad Express Special, 17012 Sirpur Kaghaznagar-Secunderabad Express with 17010 Secunderabad-Bidar Express and 17253/17254 Guntur-Secunderabad Express with 17649/17650 Hyderabad-Aura",29.02.2024,144.pdf,ME
143,Extension of 15027/15028 Gorakhpur-Hatia upto Sambalpur,27.02.2024,143.pdf,EX
142,Stoppage of 15527/15528 Jaynagar-Patna Kamla Ganga Express at Garhara,27.02.2024,142.pdf,ST
141,Shifting of Primary maintenance and Origination/Termination Station of 14163/64 Prayagraj-Meerut City Sangam Express from Prayagraj Junction to Subedarganj,27.02.2024,CC-141-2024%20EXTN%20MEERUT%20CITY%20SUBEDARGANJ.pdf,SH
140,"Stoppage of trains at Jakhim, Rafiganj & Phesar",26.02.2024,CC-140-STOP-JAKHIM%20RAFIGANJ%20%26%20PHESAR.pdf,ST
139,"Stoppage of 14853/54 Varanasi City-Jodhpur Marudhar Express, 14863/64 Varanasi City-Jodhpur Marudhar & 14865/66 Varanasi City-Jodhpur Marudhar Express at Ren",26.02.2024,CC-139-2024%20STOP%20REN.pdf,ST
138,Extension of 08531/32 (58531/32) Visakhapatnam-Palasa Passenger trains upto Brahmapur,26.02.2024,CC-138-2024%20EXTN%20UPTO%20BRAHMAPUR.pdf,EX
135,Stoppage of 13201/02 Patna-Lokmanya Tilak (T) Express at Sadisopur,26.02.2024,CC-135-STOP%20SADISOPUR.pdf,ST
134,Introduction of Puri-Anand Vihar(T) Express,23.02.2024,CC-134-2024%20PURI%20ANAND%20VIHAR.pdf,IN
133,Increase in frequency of 22665/22666 KSR Bengaluru-Coimbatore UDAY Express from 6 days a week to daily,23.02.2024,CC-133-2024%20INF%2022665.pdf,IN
132,Introduction of Train between Ghazipur City and Dildarnagar via Tarighat and extension of 03645/46 Dildarnagar-Tarighat Special upto Ghazipur City,23.02.2024,CC-132%20INTRO%20DILDARNAGAR-GAZHIPUR.pdf,IN
131,Extension of 04501/02 Una- Saharanpur Special upto Haridwar,23.02.2024,CC-131-2024-EXT-UNA-SRE%20TO%20HARIDWAR.pdf,EX
130,Stoppage of 22911/12 Indore-Howrah Shipra Express at Dabhaura,23.02.2024,CC-130-2024-STOP-DABHAURA.pdf,ST
129,Stoppage of 20415/16 Varanasi-Indore Kashi Mahakal Express at Fatehpur,23.02.2024,CC-129-2024-STOP-FATEHPUR.pdf,ST
128,Stoppage of 12239/12240 Mumbai Central- Hisar Duronto Express (Bi-Weekly) at Kota station,23.02.2024,CC-128-STOP-KOTA.pdf,ST
126,Stoppage of 20825/26 Bilaspur-Nagpur Vande Bharat Express at Dongargarh,22.02.2024,CC-126%20STOP-DONGERGARH.pdf,ST
125,Stoppage of 22155/56 Kalaburagi-Kolhapur Express at Sangola,22.02.2024,CC-125-2024%20STOP%20SANGOLA.pdf,ST
124,"Commercial stoppage of 11005/11006 Dadar Central-Puducherry Express, 11021/11022 Dadar Central-Tirunelveli Chalukya Express, 11035/11036 Dadar Central-Mysuru Sharavati Express and 17309/17310 Yesvantpur-Vasco da Gama Express at Chikjajur",22.02.2024,CC-124-STOP-CHIKJAJPUR.pdf,CO
123,Stoppage of 13239/40 Patna-Kota Express at Rura,22.02.2024,CC-123-2024-STOP-RURA.pdf,ST
122,Stoppage of 20409/10 Delhi Cant-Bathinda Express at Bahadurgarh,22.02.2024,CC-122-2024-STOP-BAHADURGARH.pdf,ST
121,Revision of timings of 20641/42 Bangalore Cantt-Coimbatore Vande Bharat Express,21.02.2024,CC-121-2024-CIT-BNC-CBE%20VANDE%20BHARAT.pdf,RE
120,Revision in days of 22457/58 Anand Vihar (T)-Dehradun Vande Bharat Express,21.02.2024,CC-120-2024-CDOP-22457-58%20ANVT-DDN%20VANDE%20BHARAT%20EXPRESS.pdf,RE
118,"Stoppage of 16217/18 Mysuru-Sainagar Shirdi Express, 16587/88 Yesvantpur-Bikaner Express & 11139/40 Mumabai CSMT-Hosapete Express at Alamatti",20.02.2024,CC-118-2024-STOP-ALMATTI.pdf,ST
117,"Stoppage of 22911/12 Indore-Howrah Express at Hazaribagh Road, 12259/60 Sealdah-Bikaner Duronto Express at Koderma & 18623/24 Islampur-Hatia Express at Chaudharibandh",20.02.2024,CC-117-2024-STOP-KODERMA-HAZARIBAGH-CHAUDHARI%20BANDH.pdf,ST
116,Extension of 19307/08 Indore-Chandigarh Express upto Nangal Dam,20.02.2024,CC-116-2024-EXT-INDORE-CHANDIGARH%20UPTO%20NANGALDAM.pdf,EX
115A,Stoppage of 15015/16 Lalkuan-Amritsar  Express at Bilaspur Road,04.03.2024,115A.pdf,ST
115,Introduction of new train between Lalkun and Amritsar,20.02.2024,CC-115-2024-%20INTRO-LALKUAN-AMRITSAR.pdf,IN
114,Introduction of new MEMU & DMU Trains between Banihal and Sangaldan,19.02.2024,CC-114-2024-INTRO-BARAMULLA-SANGALDAN.pdf,IN
113,Extension of 20632/31 Tiruvananthapuram-Kasargod Vande Bharat Express upto Mangaluru,21.02.2024,CC-113-2024-EXT-KASARGOD-THIRIVANTHAPURAM%20TO%20MANAGALURU.pdf,EX
112A,Modification in CC 112,21.02.2024,CC-112A%20STOP%20UMED.pdf,MO
112,"Stoppage of  14721/22 Jodhpur-Bathinda Express at Jajwal, 14813/14 Jodhpur-Bhopal Express at Asranada, 14721/22 Jodhpur-Bhatinda Expresss at Gotan, 14813/14 Jodhpur-Bhopal Express at Umed, Kharia Khangar & Gudha",19.02.2024,CC-112-2024-STOP-6%20PAIRS%20OF%20TRAINS%20IN%20NWR.pdf,ST
111,Stoppage of train services at Hasan Bazar Halt,21.02.2024,CC-111-2024-STOP-HASANBAZAR%20HALT.pdf,ST
110,"Introduction of Balangir-Sonepur Passenger, extension of 12893/94 Bhubaneswar-Balangir Express, 58305/06 Balangir-Bichhupali Passenger  & 58307/08 Balangir-Bichhupali Passenger upto Sonepur",21.02.2024,CC-110-2024-INTRO-BALAGIR-SONEPUR%20AND%20EXT%20TO%20SONEPUR.pdf,IN
109,"Stoppage of 13021/22 Howrah-Raxaul Mithila Express, 12557/58 Muzaffarpur-Anand Vihar (T) Sapt Kranti Express and 19037/38 Bandra (T) -Barauni Express at Pipra, 15653/54 Guwahati-Jammu Tawi Amarnath Express, 15001/02 Muzaffarpur-Dehradun Rapti Ganga Expres",16.02.2024,CC-109-2024-STOP-PIPRA-MEHSI.pdf,ST
108,Extension of 11401/02 Chhatrapati Shivaji Maharaj (T)-Adilabad Nandigram Express upto Balharshah,16.02.2024,CC-108-2024-EXT-11401-02%20NANDIGRAM%20TO%20BALHARSHAH.pdf,EX
107,"Stoppage of 13149/50 Sealdah-Alipur Duar Kanchankanya Express at Madarihat, 15483/84 Alipur Duar- Delhi Sikkim Mahananda Express & 15467/68 Siliguri-Bamanhat Express at Nagrakata",16.02.2024,CC-107-1024-STOP-MADARIHAT-NAGRAKATA.pdf,ST
106,Stoppage of 15557/58 Darbhanga-Anand Vihar (T) Amrit Bharat Express at Harinagar & Sikta,16.02.2024,CC-106-2024-STOP-HARINAGAR-SIKTA.pdf,ST
105,Stoppage of 13347/48 Barkakana-Patna Palamu Express at Lalgarh Bihar Halt,16.02.2024,CC-105-2024-STOP-LALGARH%20BIHAR%20HALT.pdf,ST
104,Stoppage of 03211/12 Patna-Gaya MEMU Special at Nema  Halt,16.02.2024,CC-104-2024-STOP-NEMA%20HALT.pdf,ST
103,Stoppage of 18611/12 Ranchi-Banaras Express at Patratu & 11447/48 Jabalpur-Howrah Shatipunj Express at Chainpur,16.02.2024,CC-103-2024-STOP-PATRATU-CHAINPUR%20(1).pdf,ST
102,Stoppage of 13242 Rajendra Nagar-Banka Express at Abhaipur,16.02.2024,CC-102-2024-STOP-ABHAIPUR.pdf,ST
101,Stoppage of 12807/08 Visakhapatnam-H. Nizamuddin Express at Morena,16.02.2024,CC-101-2024-STOP-MORENA.pdf,ST
100,"Stoppage of 14887/88 Rishikesh-Barmer Express at Gotan, 12323/24 Howrah-Barmer Express at Meta Road, 22483/84 Jodhpur-Gandhidham Express at Dhanera, 14701/02 Amarpur-Aravali Express at Dahar ka Balaji, 12719/20 Jaipur-Hyderabad Express & 22451/52 Chandigarh-Bandra (T) Express at Kishangarh, 19225/26 Bhagat Ki Kothi-Jodhpur Express at Lunkaransar, 14716 (Old No. 14826) Jaipur-Hisar Express at Kosli, 22481/82 Jodhpur-Delhi Expresss at Mahendragarh, 22483/44 Jodhpur-Gandhidham Express at Mokalsar & 12239/40 Mumbai-Hisar Duronto Express at Ringus",16.02.2024,CC-100-2024-STOP-11%20STATIONS%20OF%20NWR.pdf,ST
99,Stoppage of 20813/14 Puri-Jodhpur Express at Shamgarh & 20843/44 Bilaspur-Bhagat ki Kothi Express at Suwasra,16.02.2024,CC-99-2024-STOP-SUWASARA-SHAMGARH.pdf,ST
98,Stoppage of 14661/62 Barmer-Jammu Tawi Express at Asalpur Jobner,16.02.2024,CC-98-2024-STOP-ASALPUR%20JOBNER.pdf,ST
97,Stoppage of 16343/44 Thiruvananthapuram Central-Madurai Amritha Express at Kazhakuttam & 16348 Mangaluru Central-Thiruvananthapuram Central Express at Paravur,16.02.2024,CC-97-2024-STOP-KAZHAKUTTAM-PARAVUR.pdf,ST
96,Stoppage of 01437/38 Solapur-Tirupati Special at Kamalapur,16.02.2024,CC-96-2024-STOP-KAMLAPUR.pdf,ST
95,Stoppage of 12119/20 Amravati-Ajni Express at Tuljapur & 12159/60 Amravati-Jabalpur Express at Chandur,16.02.2024,CC-95-2024-STOP-TULJAPUR-CHANDUR.pdf,ST
93,Stoppage of 22157/58 Chhatrapati Shivaji Maharaj (T)-Chennai Egmore Express at Shahbad,16.02.2024,CC-93-2024-STOP-SHAHBAD.pdf,ST
92,Stoppage of 22665/66 KSR Bengaluru-Coimbatore Uday Express at Tirupattur,16.02.2024,CC-92-2024-STOP-TIRUPATTUR.pdf,ST
91,"Introduction of a new DEMU service between Radhikapur and Siliguri Junction via Aluabari Road, Bagdogra",16.02.2024,CC-91-2024-INTRO-SILIGURI-RADHIKAPUR.pdf,IN
90B,"Stoppage of train services at shahid Ramphal Balhara Halt, Kharkara Halt and Bahalba Halt",26.02.2024,CC-90B%20STOP%20KHARKHARA%20HALT%20BAHALBA%20HALT%20SAHEED%20RAMPHAL%20BALHARA%20HALT.pdf,ST
90A,"Stoppage of 04487/88 Rohtak-Hansi Passenger at Sahis Ramphal Balhara Halt, Kharkara Halt & Bahalba Halt",19.02.2024,CC-90A-2024-STOP-RAMPHAL%20BALHARA-KHARKARA-BAHALBA.pdf,ST
90,Introduction of train between Rohtak and Hansi,14.02.2024,CC-90-2024-INTRO-ROHTAK-HANSI.pdf,IN
89,Stoppage of 11705/06 Jabalpur-Rewa Express at Ghunwara,14.02.2024,CC-89-2024-STOP-GHUNWARA.pdf,ST
88,Stoppage of 16583/84 Yesvantpur-Latur Express at Kamalnagar,14.02.2024,CC-88-2024-STOP-KAMALNAGAR.pdf,ST
87,Stoppage of 15125/26 Banaras-Patna Janshatabdi Express at Bihta,13.02.2024,CC-87%20Stop%20Bihta.pdf,ST
85,Stoppage of 18425/26 Puri-Durg Express at Muribahal,13.02.2024,CC-85%20STOP%20MURIBAHAL.pdf,ST
84,Stoppage of 15703/04 New Jalpaiguri-Bongaigaon Express at Ambari Falakata & Belakoba,13.02.2024,CC-84%20Stop%20Ambari.pdf,ST
82,Stoppage of 17231/32 Narasapur-Nagarsol Express at Dharmabad,13.02.2024,CC-82%20STOP%20DHARMABAD.pdf,ST
81,"Stoppage of 16515/16 Yesvantpur-Karwar Express, 16575/76 Yesvantpur-Mangalore Express & 16539/40 Yesvantpur-Mangalore Express at Alur",13.02.2024,CC-81%20STOP%20ALUR.pdf,ST
80,Stoppage of 12369/70 Howrah-Dehradun Kumbh Expresss at Chittaranjan,13.02.2024,CC-80%20STOP%20CHITRANJAN.pdf,ST
79,Stoppage of 11427/28 Pune-Jasidih Express at Nawada,13.02.2024,CC-79%20STOP%20NAWADA.pdf,ST
78,Stoppage of 22717/18 (Old no. 17017/18) Rajkot-Secunderabad Express at Navsari,13.02.2024,CC-78%20Stop%20navsari.pdf,ST
77,Stoppage of 14701/02 Sri Ganganagar-Bandra (T) Express at  Bissau,13.02.2024,CC-77%20STOP%20BISSAU.pdf,ST
76,Stoppage of 12547/48 Agra Cantt-Sabarmati Express & 22547/48 Gwalior-Sabarmati Express at Rani and 19223/34 Ahmedabad-Jammu Tawi Express at Jawai Bandh,13.02.2024,CC-76%20STOP%20RANI.pdf,ST
75,"Stoppage of 14727/28 Shri Ganganagar-Tilak Bridge Express at Banwali, 19225/26 Bhagat ki Kothi-Jammu Tawi Express at Dabli Rathan, 14887/88 Rishikesh-Barmer Express at Dhaban, 20973/74 Firozpur Cantt-Rameshwaram Humsafar Express at Khinaniyan & 14721/22 Jodhpur-Bathinda Express at Rajiyasar",13.02.2024,CC-75%20STOP%20BANWALI.pdf,ST
