CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
243,Stoppage of 14723/24 Prayagraj-Bhiwani Kalindi Express at Bindki Road,15.03.2024,243.pdf,ST
242,"Stoppage of 13235/36 Sahibganj-Danapur Express at Karauta,13227/28 Saharsa-Rajendra Nagar Express at Khusropur & 12369/70 Howrah-Dehradun Express at Bakhtiyarpur",15.03.2024,242.pdf,ST
241,Extension of 13413/14 & 13483/84 Malda Town-Bhatinda Farakka Expresss upto Balurghat,15.03.2024,241.pdf,EX
240,Introduction of new train between Ranchi & Gorakhpur,15.03.2024,240.pdf,IN
239,Introduction of new train between Anand Vihar & Radhikapur,15.03.2024,239.pdf,IN
238,"Stoppage of train Services  at Raghunathpur, Buxar, Chausa & Karamnasa",15.03.2024,238.pdf,ST
237,Stoppage of 18615/16 Howrah-Hatia Kriya Yoga Express at Tiraldih,15.03.2024,237.pdf,ST
236,Stoppage of 12403/04 Prayagraj-Bikaner Express & 20403/04 Prayagraj-Bikaner Express at Govindgarh,15.03.2024,236.pdf,ST
235,Stoppage of 13005/06 Howrah-Amritsar Express at Sirhind,15.03.2024,235.pdf,ST
234,Stoppage of 15079/80 Patliputra-Gorakhpur Express at Sidhwalia,15.03.2024,234.pdf,ST
233,"Extension of 06009/06812, 06815/16  & 06822/23 Mettupalayam-Coimbatore MEMU upto Podanur",15.03.2024,233.pdf,EX
232,"Stoppage of train Services at Bokajan, Bihara, Chhatna,Nalhati, Sainthia, Begunkodar, Barabhum, Garh Jaipur, Jhalida, Kotshila, Pundag, Namkom, Silli & Tatisilwai",15.03.2024,232.pdf,ST
231,Change in timings of 20898 Ranchi-Howrah Vande Bharat Express,15.03.2024,231.pdf,CH
230,"Stoppage of 18625/26 Purnea Court-Hatia Express, 18621/22 Patna-Hatia Patliputra Express, 13287/88 Durg-Ara South Bihar Express & 13235/36 Sahibganj-Danapur Express at Athmal Gola",15.03.2024,230.pdf,ST
227,Extension of 17651/52 Chengalpattu-Kacheguda Express & 17643/44 Chengalpattu-Kakinda Port Circar Express upto Puducherry,15.03.2024,227.pdf,EX
226,Stoppage of 11753/54 NSCB Itwari-Rewa Express at Tumsar Road,15.03.2024,226.pdf,ST
225,Stoppaage of 22877/78 Howrah-Ernakulam Antyodaya Express at Aluva,15.03.2024,225.pdf,ST
224,"Extension of 01893/94 Gwalior-Sumaoli MEMU Special, 01895/96 Gwalior-Sumaoli MEMU special & 01897/98 Gwalior-Sumaoli MEMU special upto Jora Alapur",15.03.2024,224.pdf,EX
223,Stoppage of 12423/24 Dibrugarh-New Delhi Rajdhani Express at Rangiya,15.03.2024,223.pdf,ST
222,Stoppage of 20491/92 Jaisalmer-Sabarmati Express at Dhanera & 19271/72 Bhavnagar-Haridwar Express at Raniwara,15.03.2024,222.pdf,ST
221,Stoppage of 14807/08 Jodhpur-Dadar Express at Modran & Mokalsar, ,221.pdf,ST
220,Stoppage of 18029/30Lokmanya Tilak Terminal (T)-Shalimar Express at Chandur,15.03.2024,220.pdf,ST
219,Stoppage of 18639/40 Ara-Ranchi Express at Piro,15.03.2024,219.pdf,ST
218,Extension of 09605/06 Ajmer-Jaipur DEMU upto Gangapur City,15.03.2024,218.pdf,EX
217,Stoppage of 16101/02 Chennai Egmore-Kollam Express at Ulundurpet & 20605/06 Chennai Egmore-Tiruchendur Express at Kuttalam,14.03.2024,217.pdf,ST
216,Stoppage of 17317/18 Dadar-Hubli Express at Kirloskarvadi,14.03.2024,216.pdf,ST
215,Stoppages train Services  of at Arjansar & Sudsar,14.03.2024,215.pdf,ST
214,Stoppage of 22615/16 Tirupati-Coimbatore Express at Samalpatti,13.03.2024,214.pdf,ST
213,Stoppage of 12979/80 Bandra (T)-Jaipur Express at Navsari,13.03.2024,213.pdf,ST
212,Stoppage of 09368 & 09374 Khambat-Anand MEMU at Yawarpura,13.03.2024,212.pdf,ST
