CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
207,stoppage,13287/13288,DURG-ARA SOUTH BIHAR EXPRESS,,,Sonua,11.03.2024
52,introduction,None,DEOGHAR-HANSDIHA- GODDA DEMU SPECIAL,DEOGHAR,GODDA,,25.01.2024
52,introduction,None,GODDA-HANSDIHA- DEOGHAR DEMU SPECIAL,GODDA,DEOGHAR,,25.01.2024
219,stoppage,18639/18640,ARA-RANCHI EXPRESS,,,Piro,15.03.2024
153,stoppage,11464/63,Jabalpur-Verafal Somnath Express,,,Bankhedi,01.03.2024
220,stoppage,18029/30,Lokmanya Tilak (T)- Shalimar Express,,,Chandur,15.03.2024
224,extension,01893,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
224,extension,01894,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
224,extension,01895,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
224,extension,01896,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
224,extension,01897,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
224,extension,01898,GWALIOR-SUMAOLI MEMU SPECIAL,,JORA ALAPUR,,15.03.2024
193,introduction,22231,KALABURAGI - SMV BENGALURU VANDE BHARAT EXPRESS,KALABURAGI,SMV BENGALURU,,11.03.2024
193,introduction,22232,SMV BENGALURU KALABURAGI VANDE BHARAT EXPRESS,SMV BENGALURU,KALABURAGI,,11.03.2024
212,stoppage,09368,Khamabat-Anand MEMU,,,Yawarpura,13.03.2024
212,stoppage,09374,Khamabat-Anand MEMU,,,Yawarpura,13.03.2024
169,stoppage,18117/18118,Rourkela-Gunupur Rajyarani Express,,,Garpos,06.03.2024
169,stoppage,12871/12872,Howrah-Titlagarh Express,,,Garpos,06.03.2024
169,stoppage,13351/13352,Dhanbad-Alappuzha Express,,,Bamra,06.03.2024
169,stoppage,18029/18030,Lokmanya Tilak (T)-Shalimar Express,,,Bamra,06.03.2024
169,stoppage,12871/12872,Howrah-Titlagarh Express,,,Bamra,06.03.2024
169,stoppage,18309/18310,Sambalpur-Jammu Tawi Express,,,Bamra,06.03.2024
169,stoppage,18189/18190,Tatanagar-Ernakulam Express,,,Bamra,06.03.2024
142,stoppage,15527/15528,Jaynagar-Patna Kamla Ganga Express,,,Garhara,27.02.2024
6,stoppage,15231/15232,Barauni-Gondia Express,,,Dalsingh Sarai,02.01.2024
6,stoppage,15279/15280,Saharsa-Anand Vihar Poorabia Express,,,Mohiuddin Nagar,02.01.2024
