CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
214,stoppage,22615/22616,Tirupati-Coimbatore Express,,,Samalpatti,13.03.2024
23,introduction,99838,SHIVAJINAGAR- LONAVLA EMU,SHIVAJINAGAR,LONAVLA,,12.01.2024
23,introduction,99837,LONAVLA- SHIVAJINAGAR EMU,LONAVLA,SHIVAJINAGAR,,12.01.2024
199,stoppage,22455/56,Sainagar Shirdi-Kalka Express,,,Khandwa,09.03.2024
227,extension,17651,PUDUCHERRY- CHENGALPATTU- KACHEGUDA EXPRESS,,PUDUCHERRY,,15.03.2024
227,extension,17652,CHENGALPATTU- PUDUCHERRY EXPRESS,,PUDUCHERRY,,15.03.2024
227,extension,17643,PUDUCHERRY- CHENGALPATTU KAKINADAPORT CIRCAR EXPRESS,,PUDUCHERRY,,15.03.2024
227,extension,17644,KAKINADAKAKINADA PORT- CHENGALPATTU- PUDUCHERRY CIRCAR EXPRESS,,PUDUCHERRY,,15.03.2024
159,stoppage,15089/15090,Godda-Gomtinagar Express,,,Poreyahat,01.03.2024
146,stoppage,11411/12,Parli Vaijnath-Miraj DEMU,,,Murud,01.03.2024
146,stoppage,01413/14,Nizamabad-Pandharpur Special,,,Murud,01.03.2024
209,stoppage,20959/20960,Valsad-Vadnagar Express,,,Bilimora,13.03.2024
239,introduction,None,ANAND VIHAR (T)- RADHIKAPUR EXPRESS,ANAND VIHAR (T),RADHIKAPUR,,15.03.2024
239,introduction,None,RADHIKAPUR - ANAND VIHAR (T) EXPRESS,RADHIKAPUR,ANAND VIHAR (T),,15.03.2024
236,stoppage,12403/12404,Prayagraj-Bikaner Express,,,Govindgarh,15.03.2024
236,stoppage,20403/20404,Prayagraj-Bikaner Express,,,Govindgarh,15.03.2024
242,stoppage,13235/36,Sahibganj-Danapur Express,,,Karauta,15.03.2024
242,stoppage,13227/28,Saharsa-Rajendranagar Express,,,Khusropur,15.03.2024
242,stoppage,12369/70,Howrah-Dehradun Kumbh Express,,,Bakhtiyarpur,15.03.2024
171,stoppage,12791/12792,Secunderabad-Danapur Express,,,Jamikunta,06.03.2024
230,stoppage,18625/18626,Purnea Court-Hatia Express,,,Athmal Gola,15.03.2024
230,stoppage,18621/18622,Patna-Hatia Patliputra Express,,,Athmal Gola,15.03.2024
230,stoppage,13287/13288,Durg-Ara South Bihar Express,,,Athmal Gola,15.03.2024
230,stoppage,13235/13236,Sahibganj-Danapur Express,,,Athmal Gola,15.03.2024
163,extension,01861,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01862,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01863,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01864,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01865,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01866,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01867,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
163,extension,01868,KONCH-AIT SHUTTLE,,SARSOKI,,06.03.2024
197,introduction,16766,TUTICORIN- METTUPALAYAM EXPRESS,TUTICORIN,METTUPALAYAM,,15.03.2024
197,introduction,16765,METTUPALAYAM- TUTICORIN EXPRESS,METTUPALAYAM,TUTICORIN,,15.03.2024
197,introduction,16622,MANGALURU- RAMESWARAM EXPRESS,MANGALURU,RAMESWARAM,,15.03.2024
197,introduction,16621,RAMESWARAM- MANGALURU EXPRESS,RAMESWARAM,MANGALURU,,15.03.2024
148,stoppage,14705/14706,Bhiwani - Dahar Ka Balaji Express,,,Bhagega,01.03.2024
148,stoppage,14705/14706,Bhiwani - Dahar Ka Balaji Express,,,Kachera,01.03.2024
148,stoppage,14705/14706,Bhiwani - Dahar Ka Balaji Express,,,Jhilo,01.03.2024
148,stoppage,04705/04706,Sriganganagar - Jaipur Express,,,Palsana,01.03.2024
148,stoppage,14701/14702,Sriganganagar - Bandra (T) Aravali Express,,,Palsana,01.03.2024
222,stoppage,20491/20492,Jaisalmer-Sabarmati Express,,,Dhanera,15.03.2024
222,stoppage,19271/19272,Bhavnagar-Haridwar Express,,,Raniwara,15.03.2024
202,stoppage,15501/02,Raxaul-Jogbani Express,,,Adapur,09.03.2024
202,stoppage,15501/02,Raxaul-Jogbani Express,,,Chauradano,09.03.2024
243,stoppage,14723/24,Prayagraj-Bhiwani Kalindi Express,,,Bindki Road,15.03.2024
29,extension,01401,AHMEDNAGAR- AMALNER PASSENGER SPECIAL,,AMALNER BHANDYACHE,,15.01.2024
29,extension,01402,NEW ASHTI- AHMEDNAGAR PASSENGER SPECIAL,,AMALNER BHANDYACHE,,15.01.2024
194,introduction,20887,RANCHI - VARANASI VANDE BHARAT EXPRESS,RANCHI,VARANASI,,09.03.2024
194,introduction,20888,VARANASI - RANCHI VANDE BHARAT EXPRESS,VARANASI,RANCHI,,09.03.2024
158,stoppage,22213/22214,Shalimar-Patna Duronto Express,,,Jasidih,01.03.2024
191,introduction,20841,PURI VISAKHAPATNAM VANDE BHARAT EXPRESS,PURI,VISAKHAPATNAM,,09.03.2024
191,introduction,20842,VISAKHAPATNAM - PURI VANDE BHARAT EXPRESS,VISAKHAPATNAM,PURI,,09.03.2024
187,introduction,20707,SECUNDERABAD - VISAKHAPATNAM VANDE BHARAT EXPRESS,SECUNDERABAD,VISAKHAPATNAM,,15.03.2024
187,introduction,20708,VISAKHAPATNAM SECUNDERABAD VANDE BHARAT EXPRESS,VISAKHAPATNAM,SECUNDERABAD,,15.03.2024
173,introduction,None,NEW TRAIN,JHANJHARPUR,VACHASPATI NAGAR,,07.03.2024
