CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
141,stoppage,22945/46,,,,,
141,stoppage,22959/60,,,,,
71,introduction,01891/01892,,,,,
154,introduction,07687/88,,,,,
77,introduction,01065/66,,,,,
346,stoppage,13403/04,,,,,
346,stoppage,11447,,,,,
346,stoppage,18619/20,,,,,
174,stoppage,11651/52,,,,,
119,extension,04108,,,,,
313,stoppage,14113/14,,,,,
313,stoppage,19615/16,,,,,
297,extension,40,,,,,
233,stoppage,None,,,,,
233,stoppage,None,,,,,
233,stoppage,None,,,,,
102,stoppage,15663/64,,,,,
176,stoppage,18463/64,,,,,
152,stoppage,20409/10,,,,,
243,extension,12513,,,,,
243,extension,12514,,,,,
243,extension,12519,,,,,
243,extension,12520,,,,,
355,stoppage,03369/70,,,,,
355,stoppage,03605/06,,,,,
216,introduction,None,,,,,
216,introduction,None,,,,,
116,stoppage,2023,,,,,
325,introduction,None,,,,,
248,introduction,None,,,,,
248,introduction,14661/62,,,,,
248,introduction,14645/66,,,,,
317,stoppage,15231/32,,,,,
314,stoppage,14259/60,,,,,
314,stoppage,13347/48,,,,,
314,stoppage,13009/10,,,,,
356,extension,16845,,,,,
356,extension,16846,,,,,
143,stoppage,19015/16,,,,,
143,stoppage,12905/06,,,,,
