CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
24,stoppage,19217/18,Bandra (T)-Veraval Express,,,Keshod,15.03.2022
32,extension,18619,RANCHI- GODDA EXPRESS,,GODDA,,31.03.2022
32,extension,18620,DUMKA- RANCHI EXPRESS,,GODDA,,31.03.2022
17,stoppage,11753/54,Itwari-Rewa Express,,,Ghansore,28.02.2022
09,extension,08411,BHADRAK-BHUBANESWAR PASSENGER SPECIAL,,BALASORE,,10.01.2022
09,extension,08412,BHUBANESWAR- BALASORE PASSENGER SPECIAL,,BALASORE,,10.01.2022
34,introduction,None,SULTANGANJ-DEOGHAR DEMU,SULTANGANJ,DEOGHAR,,01.04.2022
34,introduction,None,DEOGHAR-SULTANGANJ DEMU,DEOGHAR,SULTANGANJ,,01.04.2022
44,stoppage,22421/22,Delhi Sarai Rohilla-Jodhpur Express,,,Parhihara,28.04.2022
44,stoppage,22481/82,Delhi Sarai Rohilla-Jodhpur Express,,,Talchhapar,28.04.2022
44,stoppage,14727/28,Sri Ganganagar-Tilak Bridge Express,,,Sidmukh,28.04.2022
44,stoppage,14727/28,Sri Ganganagar-Tilak Bridge Express,,,Anupshahr,28.04.2022
44,stoppage,14727/28,Sri Ganganagar-Tilak Bridge Express,,,Rajaldesar,28.04.2022
19,stoppage,04571,Bhiwani-Dhuri Passenger,,,Jamalpur Shaikhan,28.02.2022
19,stoppage,04572,Dhuri-Sirsa Passenger,,,Jamalpur Shaikhan,28.02.2022
19,stoppage,04575/76,Ludhiana-Hisar Passenger,,,Jamalpur Shaikhan,28.02.2022
01,stoppage,12237/38,Varanasi-Jammu Tawi Begumpura Express,,,Lambhua,03.01.2022
01,stoppage,20401/02,Varanasi-Lucknow Express,,,Lambhua,03.01.2022
26,stoppage,14005,Sitamarhi-Anand Vihar Terminal Lichchhavi Express,,,Tundla,15.03.2022
102,stoppage,12479/12480,Bandra(T)-Jodhpur Suryanagri Special Express,,,Vapi,15.07.2022
102,stoppage,19091/19092,Bandra(T) - Humsafar Express,,,Vapi,15.07.2022
14,stoppage,19037/38,Bandra (T)-Barauni Express,,,Ramganjmandi,"09.02.2022"
14,stoppage,19607/08,Kolkata-Madar Express,,,Bundi,"09.02.2022"
14,stoppage,12181/82,Jabalpur-Ajmer Express,,,Lakheri,"09.02.2022"
14,stoppage,12465/66,Indore-Jodhpur Express,,,Dara,"09.02.2022"
14,stoppage,19019/20,Bandra (T)-Haridwar Express,,,Dara,"09.02.2022"
14,stoppage,19019/20,Bandra (T)-Haridwar Express,,,Morak,"09.02.2022"
14,stoppage,19019/20,Bandra (T)-Haridwar Express,,,Keshorai Patan,"09.02.2022"
14,stoppage,19019/20,Bandra (T)-Haridwar Express,,,Kapren,"09.02.2022"
02,introduction,15077/78,GOMTINAGAR-KAMAKHYA EXPRESS,GOMTINAGAR,KAMAKHYA,,04.01.2022
02,introduction,15077/78,KAMAKHYA-GOMTINAGAR EXPRESS,KAMAKHYA,GOMTINAGAR,,04.01.2022
15,stoppage,15715/16,Kishanganj-Ajmer Express,,,Begusarai,03.03.2022
15,stoppage,12835/36,Hatia-Yesvantpur Express,,,Bano,03.03.2022
15,stoppage,12923/24,Dr. Ambedkar Nagar-Nagpur Express,,,Narkher,03.03.2022
15,stoppage,16093/94,Chennai-Lucknow Express,,,Katol,03.03.2022
